GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US06073003800,06073003800,"Census Tract 38, San Diego County, California",-,**
1400000US06073003901,06073003901,"Census Tract 39.01, San Diego County, California",997,94
1400000US06073003902,06073003902,"Census Tract 39.02, San Diego County, California",919,44
1400000US06073004000,06073004000,"Census Tract 40, San Diego County, California",935,73
1400000US06073004100,06073004100,"Census Tract 41, San Diego County, California",1061,49
1400000US06073004200,06073004200,"Census Tract 42, San Diego County, California",1587,225
1400000US06073004300,06073004300,"Census Tract 43, San Diego County, California",1116,113
1400000US06073004400,06073004400,"Census Tract 44, San Diego County, California",1159,75
1400000US06073004501,06073004501,"Census Tract 45.01, San Diego County, California",1095,77
1400000US06073004600,06073004600,"Census Tract 46, San Diego County, California",1084,68
1400000US06073004700,06073004700,"Census Tract 47, San Diego County, California",919,71
1400000US06073004800,06073004800,"Census Tract 48, San Diego County, California",937,50
1400000US06073004900,06073004900,"Census Tract 49, San Diego County, California",936,69
1400000US06073005000,06073005000,"Census Tract 50, San Diego County, California",891,55
1400000US06073005100,06073005100,"Census Tract 51, San Diego County, California",831,121
1400000US06073005200,06073005200,"Census Tract 52, San Diego County, California",1282,158
1400000US06073005300,06073005300,"Census Tract 53, San Diego County, California",1351,160
1400000US06073005400,06073005400,"Census Tract 54, San Diego County, California",1724,236
1400000US06073005500,06073005500,"Census Tract 55, San Diego County, California",-,**
1400000US06073005600,06073005600,"Census Tract 56, San Diego County, California",1398,239
1400000US06073005700,06073005700,"Census Tract 57, San Diego County, California",946,39
1400000US06073005800,06073005800,"Census Tract 58, San Diego County, California",1929,153
1400000US06073005900,06073005900,"Census Tract 59, San Diego County, California",1197,76
1400000US06073006000,06073006000,"Census Tract 60, San Diego County, California",1338,212
1400000US06073006100,06073006100,"Census Tract 61, San Diego County, California",1278,198
1400000US06073006200,06073006200,"Census Tract 62, San Diego County, California",-,**
1400000US06073006300,06073006300,"Census Tract 63, San Diego County, California",-,**
1400000US06073006500,06073006500,"Census Tract 65, San Diego County, California",952,31
1400000US06073006600,06073006600,"Census Tract 66, San Diego County, California",2197,33
1400000US06073006801,06073006801,"Census Tract 68.01, San Diego County, California",1484,218
1400000US06073006802,06073006802,"Census Tract 68.02, San Diego County, California",1425,153
1400000US06073006900,06073006900,"Census Tract 69, San Diego County, California",1676,156
1400000US06073007002,06073007002,"Census Tract 70.02, San Diego County, California",1977,512
1400000US06073007100,06073007100,"Census Tract 71, San Diego County, California",1865,252
1400000US06073007200,06073007200,"Census Tract 72, San Diego County, California",2873,298
1400000US06073007301,06073007301,"Census Tract 73.01, San Diego County, California",1394,109
1400000US06073007302,06073007302,"Census Tract 73.02, San Diego County, California",2077,697
1400000US06073007400,06073007400,"Census Tract 74, San Diego County, California",1380,96
1400000US06073007501,06073007501,"Census Tract 75.01, San Diego County, California",1221,97
1400000US06073007502,06073007502,"Census Tract 75.02, San Diego County, California",1301,88
1400000US06073007600,06073007600,"Census Tract 76, San Diego County, California",1234,143
1400000US06073007701,06073007701,"Census Tract 77.01, San Diego County, California",1570,292
1400000US06073007702,06073007702,"Census Tract 77.02, San Diego County, California",1311,122
1400000US06073007800,06073007800,"Census Tract 78, San Diego County, California",1390,85
1400000US06073007903,06073007903,"Census Tract 79.03, San Diego County, California",1397,91
1400000US06073007905,06073007905,"Census Tract 79.05, San Diego County, California",1448,88
1400000US06073007907,06073007907,"Census Tract 79.07, San Diego County, California",1293,96
1400000US06073007908,06073007908,"Census Tract 79.08, San Diego County, California",1437,93
1400000US06073007910,06073007910,"Census Tract 79.10, San Diego County, California",1329,101
1400000US06073008002,06073008002,"Census Tract 80.02, San Diego County, California",2124,235
1400000US06073008003,06073008003,"Census Tract 80.03, San Diego County, California",1761,107
1400000US06073008006,06073008006,"Census Tract 80.06, San Diego County, California",1737,94
1400000US06073008101,06073008101,"Census Tract 81.01, San Diego County, California",1786,163
1400000US06073008102,06073008102,"Census Tract 81.02, San Diego County, California",2051,324
1400000US06073008200,06073008200,"Census Tract 82, San Diego County, California",1796,281
1400000US06073008301,06073008301,"Census Tract 83.01, San Diego County, California",2949,275
1400000US06073008303,06073008303,"Census Tract 83.03, San Diego County, California",1935,361
1400000US06073008305,06073008305,"Census Tract 83.05, San Diego County, California",1069,21
1400000US06073008306,06073008306,"Census Tract 83.06, San Diego County, California",2913,425
1400000US06073008307,06073008307,"Census Tract 83.07, San Diego County, California",1879,685
1400000US06073008310,06073008310,"Census Tract 83.10, San Diego County, California","3,500+",***
1400000US06073008311,06073008311,"Census Tract 83.11, San Diego County, California",3362,197
1400000US06073008312,06073008312,"Census Tract 83.12, San Diego County, California",1566,241
1400000US06073008313,06073008313,"Census Tract 83.13, San Diego County, California",2038,428
1400000US06073008324,06073008324,"Census Tract 83.24, San Diego County, California",2026,256
1400000US06073008327,06073008327,"Census Tract 83.27, San Diego County, California",2309,232
1400000US06073008328,06073008328,"Census Tract 83.28, San Diego County, California",1716,1000
1400000US06073008329,06073008329,"Census Tract 83.29, San Diego County, California",2059,118
1400000US06073008330,06073008330,"Census Tract 83.30, San Diego County, California",1919,194
1400000US06073008331,06073008331,"Census Tract 83.31, San Diego County, California",3012,232
1400000US06073008333,06073008333,"Census Tract 83.33, San Diego County, California",2241,90
1400000US06073008335,06073008335,"Census Tract 83.35, San Diego County, California",2211,542
1400000US06073008336,06073008336,"Census Tract 83.36, San Diego County, California",2750,809
1400000US06073008337,06073008337,"Census Tract 83.37, San Diego County, California",2442,238
1400000US06073008339,06073008339,"Census Tract 83.39, San Diego County, California",1669,132
1400000US06073008340,06073008340,"Census Tract 83.40, San Diego County, California",1822,62
1400000US06073008341,06073008341,"Census Tract 83.41, San Diego County, California",1865,63
1400000US06073008343,06073008343,"Census Tract 83.43, San Diego County, California",1599,77
1400000US06073008344,06073008344,"Census Tract 83.44, San Diego County, California",2296,134
1400000US06073008345,06073008345,"Census Tract 83.45, San Diego County, California",1688,126
1400000US06073008346,06073008346,"Census Tract 83.46, San Diego County, California",2614,253
1400000US06073008347,06073008347,"Census Tract 83.47, San Diego County, California",1911,169
1400000US06073008348,06073008348,"Census Tract 83.48, San Diego County, California",1816,195
1400000US06073008349,06073008349,"Census Tract 83.49, San Diego County, California",1681,118
1400000US06073008350,06073008350,"Census Tract 83.50, San Diego County, California",1776,66
1400000US06073008351,06073008351,"Census Tract 83.51, San Diego County, California",1873,180
1400000US06073008352,06073008352,"Census Tract 83.52, San Diego County, California",1723,172
1400000US06073008353,06073008353,"Census Tract 83.53, San Diego County, California",2155,95
1400000US06073008354,06073008354,"Census Tract 83.54, San Diego County, California",2098,123
1400000US06073008355,06073008355,"Census Tract 83.55, San Diego County, California",2054,223
1400000US06073008356,06073008356,"Census Tract 83.56, San Diego County, California",1610,121
1400000US06073008357,06073008357,"Census Tract 83.57, San Diego County, California",1534,176
1400000US06073008358,06073008358,"Census Tract 83.58, San Diego County, California",1845,184
1400000US06073008359,06073008359,"Census Tract 83.59, San Diego County, California",1421,33
1400000US06073008360,06073008360,"Census Tract 83.60, San Diego County, California",1447,93
1400000US06073008361,06073008361,"Census Tract 83.61, San Diego County, California",1652,91
1400000US06073008362,06073008362,"Census Tract 83.62, San Diego County, California",1849,146
1400000US06073008363,06073008363,"Census Tract 83.63, San Diego County, California",1671,68
1400000US06073008364,06073008364,"Census Tract 83.64, San Diego County, California",1657,60
1400000US06073008365,06073008365,"Census Tract 83.65, San Diego County, California",3036,280
1400000US06073008366,06073008366,"Census Tract 83.66, San Diego County, California",2702,329
1400000US06073008501,06073008501,"Census Tract 85.01, San Diego County, California",1462,157
1400000US06073008502,06073008502,"Census Tract 85.02, San Diego County, California",1426,95
1400000US06073008503,06073008503,"Census Tract 85.03, San Diego County, California",1358,115
1400000US06073008504,06073008504,"Census Tract 85.04, San Diego County, California",1735,197
1400000US06073008505,06073008505,"Census Tract 85.05, San Diego County, California",1203,214
1400000US06073008506,06073008506,"Census Tract 85.06, San Diego County, California",1430,80
1400000US06073008507,06073008507,"Census Tract 85.07, San Diego County, California",1245,97
1400000US06073008509,06073008509,"Census Tract 85.09, San Diego County, California",1307,77
1400000US06073008510,06073008510,"Census Tract 85.10, San Diego County, California",1137,78
1400000US06073008511,06073008511,"Census Tract 85.11, San Diego County, California",2003,150
1400000US06073008512,06073008512,"Census Tract 85.12, San Diego County, California",2034,212
1400000US06073008513,06073008513,"Census Tract 85.13, San Diego County, California",2081,279
1400000US06073008600,06073008600,"Census Tract 86, San Diego County, California",1251,107
1400000US06073008701,06073008701,"Census Tract 87.01, San Diego County, California",1760,260
1400000US06073008702,06073008702,"Census Tract 87.02, San Diego County, California",1642,79
1400000US06073008800,06073008800,"Census Tract 88, San Diego County, California",1229,85
1400000US06073008901,06073008901,"Census Tract 89.01, San Diego County, California",1691,90
1400000US06073008902,06073008902,"Census Tract 89.02, San Diego County, California",1751,78
1400000US06073009000,06073009000,"Census Tract 90, San Diego County, California",1272,119
1400000US06073009101,06073009101,"Census Tract 91.01, San Diego County, California",1491,193
1400000US06073009102,06073009102,"Census Tract 91.02, San Diego County, California",1309,59
1400000US06073009103,06073009103,"Census Tract 91.03, San Diego County, California",1538,199
