,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
287,76.064,BEYER BL,SMYTHE AV,COTTONWOOD RD,Good,20150206,0755,BEYER BL,SMYTHE,0,A,4,A,09,A,A,H
288,88.976,FAIRMOUNT AV,POLK AV,ORANGE AV,Good,20150216,1455,FAIRMOUNT AV,POLK AV,0,A,4,A,12,A,A,H
289,86.324,MISSION VILLAGE DR,FULLERTON AV,FERMI AV,Good,20150218,0152,MISSION VILLAGE DR,FULLERTON AV,0,A,4,A,08,C,A,H
290,95.724,GENESEE AV,MT FORAKER AV,MT HERBERT AV,Good,20150211,0914,GENESEE AV,MOUNT HERBEI-AV,0,A,2,A,03,A,A,H
291,83.78,PEARL ST,CUVIER ST,DRAPER AV,Good,20150217,1508,PEARL ST,CUVIER ST,0,A,3,A,09,A,A,H
292,85.016,NORTH TORREY PINES RD,GENESEE AV,NORTH TORREY PINES CT,Good,20150212,1946,TORREY PINES RD,GENESEE AV,0,A,3,A,10,C,A,H
293,49.722,MISSION BAY DR,GLENDORA ST,BUNKER HILL ST,Fair,20150210,0610,MISSION BAY DR,GLENDORA ST,0,B,3,A,08,B,A,H
294,87.14,GRAMERCY DR,TOWSER ST,MOBLEY ST,Good,20150215,1400,GRAMERCY DR,MOBLEY ST,0,A,4,A,09,A,A,H
295,75.402,E ST,09TH AV,10TH AV,Good,20150210,1535,E ST,10TH AV,0,A,4,A,21,A,A,H
296,64.022,OCEAN VIEW BL,OLIVEWOOD TR,S 37TH ST,Fair,20150209,0129,OCEANVIEW BL,S 37TH ST,0,E,4,A,09,C,A,H
297,82.22,ORANGE AV,47TH ST,EUCLID AV,Good,20150211,2041,ORANGE AV,EUCLID AV,0,A,4,A,- ,C,A,H
298,69.366,MURPHY CANYON RD,BALBOA AV,CLAIREMONT MESA BL,Fair,20150212,1223,MURPHY CANYON RD,CLAREMONT MESA BL,0,A,4,A,05,A,A,H
299,75.42,06TH AV,KALMIA ST,EL PRADO,Good,20150215,1621,06TH AV,KALMIA ST,0,A,3,A,09,A,A,H
300,67.65,UNIVERSITY AV,50TH ST,52ND ST,Fair,20150216,2315,UNIVERSITY,52ND ST,0,A,4,A,12,C,A,H
301,41.072,VIA DE LA VALLE,EL CAM REAL,CITY BOUNDARY,Fair,20150214,1755,VIA DE LA VALLE,EL CAMINO REAL,0,A,4,A,03,C,A,H
302,62.282,EL CAM REAL,HIGH BLUFF DR,TOWNSGATE DR,Fair,20150212,1518,EL CAMINO REAL,TOWNSGATE,0,A,3,A,08,A,A,H
303,86.394,LA JOLLA VILLAGE DR,EXECUTIVE WY,TOWNE CENTRE DR,Good,20150213,1240,LA JOLLA VILLAGE DR,TOWN CENTER DR,0,A,3,A,03,A,A,H
304,56.804,UNIVERSITY AV,EUCLID AV,RENO DR,Fair,20150212,1845,UNIVERSITY AV,EUCLID AV,0,A,4,A,03,C,A,H
305,88.938,42ND ST,UNIVERSITY AV,POLK AV,Good,20150215,1935,42ND ST,UNIVERSITY,0,A,4,A,09,C,A,H
306,82.576,UNIVERSITY AV,43RD ST,FAIRMOUNT AV,Good,20150214,1903,UNIVERSITY AV,FAIRMOUNT AV,0,A,4,A,04,C,A,H
307,84.808,EL CAJON BL,EL CERRITO DR,58TH ST,Good,20150213,1905,EL CAJON BL,EL CERRITO,0,A,3,A,08,C,A,H
308,74.828,BERNARDO CENTER DR,BERNARDO PLAZA CT,RANCHO BERNARDO RD,Good,20150213,1450,BERNARDO CENTER DR,BERNARDO PLAZA DR,0,A,3,A,03,A,A,H
309,83.692,POMERADO RD,CYPRESS CANYON PARK DR,SPRING CANYON RD,Good,20150212,1040,POMERADO RD,CYPRESS CANYON PARK DR,0,A,4,A,12,A,A,H
310,81.244,W UNIVERSITY AV,FRONT ST,ALBATROSS ST,Good,20150212,2122,W UNIVERSITY AV,FRONT ST,0,A,4,A,12,C,A,H
311,89.952,B ST,26TH ST,27TH ST,Good,20150212,1122,B ST,27TH ST,0,A,4,A,09,A,A,H
312,82.27,25TH ST,G ST,F ST,Good,20150212,1610,25TH ST,G ST,0,A,4,A,12,A,A,H
313,59.626,COLLEGE AV,ADELAIDE AV,ESTELLE ST,Fair,20150212,1003,COLLEGE AV,ADELAIDE AV,0,A,4,A,12,A,A,D
314,76.88,SCRANTON RD,MOREHOUSE DR,MIRA SORRENTO PL,Good,20150211,1835,SCRANTON RD,MOREHOUSE DR,0,A,3,A,10,C,A,H
315,75.196,LA JOLLA BL,GRAVILLA ST,PLAYA DEL SUR ST,Good,20150211,1645,LA JOLLA BL,GRAVILLA ST,0,A,3,A,- ,A,A,H
316,94.72,NOBEL DR,LEBON DR,DANICA MAE DR,Good,20150209,1156,NOBLE DR,LEBON DR,0,A,4,A,08,A,A,H
317,82.824,CLAIREMONT MESA BL,LIMERICK AV,DOLIVA DR,Good,20150210,1146,CLAIREMONT MESA BL,LIMERICK AV,0,A,2,A,03,A,A,H
318,85.864,S 39TH ST,T ST,FLORENCE ST,Good,20150210,1228,31TH ST,B ST,0,A,4,A,21,A,A,H
319,82.814,EL CAJON BL,UTAH ST,KANSAS ST,Good,20150218,1545,EL CAJON BL,KANSAS ST,0,A,4,A,17,A,A,H
320,70.792,GROVE AV,BEGIN,GAYWOOD ST,Good,20150128,1626,GROVE AV,GAYWOOD ST,0,A,4,A,03,A,A,H
321,86.154,SAN DIEGO MISSION RD,MISSION VILLAGE DR,RANCHO MISSION RD,Good,20150203,1918,SAN DIEGO MISSION RD,RANCHO MISSION RD,0,A,3,A,03,C,A,H
322,73.04,48TH ST,UNIVERSITY AV,POLK AV,Good,20150303,0817,48TH ST,UNIVERSITY AV,S,A,0,A,08,A,A,H
323,46.942,A ST,09TH AV,10TH AV,Fair,20150318,1930,A ST,10TH,0,A,4,A,12,C,A,H
324,86.162,CARMEL VALLEY RD,BLACK MTN RD,WINECREEK RD,Good,20150211,1507,CARMEL VALLEY RD,WINESPRINGS RD,5,A,3,A,17,A,A,H
325,54.964,CESAR E CHAVEZ PY,MAIN ST,HARBOR DR,Fair,20150219,0542,CESAR CHAVZ PKWY,HARBOR DR,0,A,3,A,09,C,A,H
326,80.778,FRANKLIN AV,S EVANS ST,SAMPSON ST,Good,20150217,2040,FRANKLIN AV,S SAMPSON ST,0,A,4,A,06,C,A,H
327,82.776,UNIVERSITY AV,MARLBOROUGH AV,42ND ST,Good,20150217,1615,UNIVERSITY AV,42ND ST,0,A,3,A,08,A,A,H
328,64.348,WEST POINT LOMA BL,TEMECULA ST,MENTONE ST,Fair,20150217,1834,W POINT LOMA BL,MENTONE ST,0,A,4,A,04,D,A,H
329,65.956,PARK VILLAGE RD,SPINDLETOP RD,RAGWEED ST,Fair,20150217,0736,PARK VILLAGE RD,RAGWEED ST,0,A,4,A,12,A,A,H
330,86.8,IONA DR,BROOKLYN AV,MERLIN DR,Good,20150217,0741,IONA DR,BROOKLYN AV,0,A,4,A,09,A,A,H
331,95.344,GENESEE AV,GENESEE CV,CALGARY DR,Good,20150218,0053,GENESEE AV,GENESSE AV 9000,0,A,4,A,12,C,A,H
332,85.976,GARNET AV,SOLEDAD MTN RD,PICO ST,Good,20150218,1931,GARNET AV,SOLEDAD MOUNTAIN RD,0,A,4,A,03,C,A,H
333,83.732,GARNET AV,FANUEL ST,GRESHAM ST,Good,20150210,1900,GARNET AV,FANUEL ST,0,A,4,A,- ,C,A,H
334,91.74,SORRENTO VALLEY BL,MOORLAND HEIGHTS WY,VISTA DEL AGUA WY,Good,20150218,1758,SORRENTO VALLEY BL,VISTA DEL AGUA WY,0,B,3,A,08,A,A,H
335,79.698,TEXAS ST,MEADE AV,MONROE AV,Good,20150218,1655,TEXAS ST,MEADE AV,0,A,4,A,12,A,A,H
336,79.584,NIMITZ BL,POE ST,CHATSWORTH BL,Good,20150218,1519,NIMITZ BL,LOWELL ST,0,A,3,A,12,A,A,H
337,70.98,W GRAPE ST,KETTNER BL,PACIFIC HY,Good,20150216,0849,GRAPE ST,PACIFIC HY,0,A,4,A,12,A,A,H
338,75.552,RUFFIN RD,AERO DR,CALLE FORTUNADA,Good,20150218,2156,RUFFIN RD,AERO DR,0,A,4,A,03,C,A,H
339,26.06,PIROTTE DR,54TH (W FTG) RD,54TH ST,Poor,20150205,2044,PIROTTE DR,54TH ST,0,B,2,D,00,C,A,H
340,71.64,47TH ST,MARKET ST,GUYMON ST,Good,20150215,2300,47TH ST,MARKET ST,0,A,2,A,12,C,A,H
341,70.14,PACIFIC HY,W JUNIPER ST,W LAUREL ST,Good,20150124,1615,PACIFIC HY,W LAUREL ST,0,A,3,A,09,A,-,H
342,92.58,SKYLINE DR,GREENLAWN DR,BOWIE ST,Good,20150220,1851,SKYLINE  DR,GREENLAWN DR,0,A,3,A,11,C,A,H
343,56.718,GRAND AV,OLNEY ST,QUINCY ST,Fair,20150220,0343,GRAND AV,OLNEY ST,0,B,3,A,08,D,A,H
344,50.97,MISSION BAY DR,ROSEWOOD ST,GRAND AV,Fair,20150221,1232,MISSION BAY DR,ROSEWOOD ST,0,B,3,A,08,A,A,H
345,80.714,DWIGHT ST,MARLBOROUGH AV,42ND ST,Good,20150221,1740,DWIGHT,42ND ST,0,A,4,A,09,C,A,H
346,74.08,W ASH ST,COLUMBIA ST,INDIA ST,Good,20150223,1900,W ASH ST,COLUMBIA ST,0,B,3,A,08,C,A,H
347,86.154,SAN DIEGO MISSION RD,MISSION VILLAGE DR,RANCHO MISSION RD,Good,20150218,1515,SAN DIEGO MISSION RD,RANCHO MISSION RD,0,A,4,A,08,A,A,H
348,60.674,MT ALIFAN DR,GENESEE AV,MT AGUILAR DR,Fair,20150220,1349,MOUNT ALIFAN DR,GENESEE AV,0,A,4,A,09,A,A,H
349,71.416,SEA WORLD DR,EAST MISSION BAY DR,TECOLOTE RD,Good,20150224,1957,SEA WORLD DR,TECOLOTE RD,0,A,3,A,12,C,A,H
350,77.584,04TH AV,ROBINSON AV,UNIVERSITY AV,Good,20150223,1505,04TH AV,ROBINSON AV,0,A,3,A,11,A,A,H
351,59.466,UNIVERSITY AV,SHILOH RD,54TH ST,Fair,20150222,0038,UNIVERSITY AV,54TH ST,0,A,4,A,12,C,A,H
352,55.25,UPAS ST,GRANADA AV,29TH ST,Fair,20150220,1630,UPAS ST,29TH ST,0,A,4,A,09,A,A,H
353,93.204,WYNGATE PT,WINSTANLEY WY,END,Good,20150215,2058,WAYNGATE PT,WINSTANLEY WY,0,E,4,A,03,D,B,-
354,74.344,CAM RUIZ,REAGAN RD,MIRA MESA BL,Good,20150223,1131,CAMINO RUIZ,REAGAN RD,0,A,4,A,08,A,A,H
355,64.27,BERNARDO CENTER DR,BERNARDO TR,BERNARDO CENTER CT,Fair,20150216,1439,BERNARDO CENTER DR,BERNARDO DR,0,A,4,A,00,A,A,H
356,70.336,QUALCOMM WY,FRIARS RD,FRIARS RD RA,Good,20150223,0740,QUALCOMM WY,FRIARS RD,0,B,4,A,03,A,B,H
357,92.328,COLLWOOD BL,COLLWOOD WY,MONTEZUMA RD,Good,20150306,1739,COLLWOOD BL,MONTEZUMA RD,0,A,4,A,21,A,A,H
358,95.304,GENESEE AV,GOVERNOR DR,GENESEE CV,Good,20150226,1530,GENESEE AV,GOVERNOR DR,0,A,4,A,08,A,A,H
359,80.404,BERNARDO CENTER DR,WEST BERNARDO DR,CLOUDCREST DR,Good,20150225,1425,BERNARDO CENTER DR,W BERNARDO DR,0,A,4,A,09,A,A,H
360,93.736,POMERADO RD,FAIRBROOK RD,SEMILLON BL,Good,20150224,1323,POMERADO RD,FAIRBROOK RD,0,A,4,A,08,A,A,H
361,84.856,MONTEZUMA RD,LA DORNA ST,CATOCTIN DR,Good,20150227,0010,MONTEZUMA ,CATOCTIN,0,A,3,A,12,C,A,H
