"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SS-017208",39,"MADRONE AV","RITCHEY ST","68TH ST",623.3047,25,"Residential","AC Improved",15582.6175,"Poor",607722.0825
"SS-026483",57,"TICO CT","DARWIN WY","END",158.0282,30,"Residential","AC Improved",4740.846,"Fair",270228.222
"SS-022891",69.95,"REDWOOD ST","60TH ST","END",130.0036,36,"Residential","AC Improved",4680.1296,"Fair",327375.06552
"SS-000446",47.29,"19TH ST","E ST","BROADWAY",362.0497,52,"Residential","AC Improved",18826.5844,"Fair",890309.176276
"SS-012864",38.02,"GUY ST","COUTS ST","WITHERBY ST",245.4159,30,"Residential","PCC Jointed Concrete",7362.477,"Poor",279921.37554
"SS-021999",51,"POBLADO RD","MOON SONG CT","SUN MAIDEN CT",250.5347,40,"Major","AC Improved",10021.388,"Fair",511090.788
"SS-029893",74.31,"W LEWIS ST","EAGLE ST","FALCON ST",275.0292,30,"Residential","AC Improved",8250.876,"Good",613122.59556
"SS-031415",100,"STONEBRIDGE PY","MERRITAGE CT","DOWNING LN",966.4953,50,"Major","AC Improved",48324.765,"Good",4832476.5
"SS-031423",83.4,"ROSE GARDEN CT","STONEBRIDGE PY","HIDEAWAY LN",814.2807,28,"Prime","AC Improved",22799.8596,"Good",1901508.29064
"SS-031433",76.77,"MERRITAGE CT","STONEBRIDGE PY","BELLA ROSA RD",195.8727,36,"Local","AC Improved",7051.4172,"Good",541337.298444
"SS-031536",69.8,"AVALON VISTA CT","BEGIN","MARINER DR",175.6003,34,"Residential","AC Improved",5970.4102,"Fair",416734.63196
"SS-026512",75.59,"TIMBERGATE CR","CHICARITA CREEK RD","END",340.2617,32,"Residential","AC Improved",10888.3744,"Good",823052.220896
"SS-012918",81.13,"HALF MILE DR","HIGH BLUFF DR","TIVERTON RD",290.8436,44,"Major","AC Improved",12797.1184,"Good",1038230.215792
"SS-008825",55.12,"DE MAYO RD","BEGIN","NOB AV",285.3749,30,"Residential","PCC Jointed Concrete",8561.247,"Fair",471895.93464
"SS-007205",75.95,"CICHLID WY","DARKWOOD RD","CRISSCROSS LN",282.1792,30,"Residential","AC Improved",8465.376,"Good",642945.3072
"SS-023904",47.4,"SALINAS WY","TRIPOLI RD","PARMA LN",730.0683,36,"Residential","AC Improved",26282.4588,"Fair",1245788.54712
"SS-009543",24.33,"DUNHILL ST","FLINTKOTE AV","ROSELLE ST",732.2853,50,"Residential","AC Improved",36614.265,"Poor",890825.06745
"SS-016842",86.2,"LONGWOOD ST","SAN RAMON DR","WESTONHILL DR",1178.1375,36,"Residential","AC Improved",42412.95,"Good",3655996.29
"SS-010857",45.84,"FALLWOOD AV","LIPSCOMB DR","FALL GLEN CT",265.8567,36,"Residential","AC Improved",9570.8412,"Fair",438727.360608
"SS-015221",64.36,"KIBLER DR","HENDRICKS DR","PORT ROYALE DR",438.7187,36,"Residential","AC Improved",15793.8732,"Fair",1016493.679152
"SS-007397",45.01,"CLIFFRIDGE CT","CLIFFRIDGE AV","END",123.1017,30,"Residential","AC Improved",3693.051,"Fair",166224.22551
"SS-026228",82.82,"TEASDALE AV","ENDERS AV","ENDERS AV",952.5853,36,"Residential","AC Improved",34293.0708,"Good",2840152.123656
"SS-026666",56.65,"TORREY PINES RD","CALLE JUELA","TORREY PINES LN",270.1001,36,"Major","AC Improved",9723.6036,"Fair",550842.14394
"SS-003231",80.28,"AVNDA PLAYA VERACRUZ","ANTIGUA BL","CTE PLAYA PALMERA",210.1502,40,"Local","AC Improved",8406.008,"Good",674834.32224
"SS-018871",79.8,"MONTEGO DR","EL NOCHE WY","HUARACHA CT",290.1403,36,"Residential","AC Improved",10445.0508,"Good",833515.05384
"SS-002972",69,"ASTORIA ST","BEGIN","ATOLL ST",297.027,36,"Residential","AC Improved",10692.972,"Fair",737815.068
"SS-019523",39,"MURRAY RIDGE RD","AL CT","PINECREST AV",316.6911,64,"Major","AC Improved",20268.2304,"Poor",790460.9856
"SS-002607",69,"ARBOLES ST","WENRICH DR","CHRISMARK AV",563.4162,36,"Residential","AC Improved",20282.9832,"Fair",1399525.8408
"SS-016603",50.56,"LITTLEFIELD ST","CHICAGO ST","GOLDFIELD ST",52.8014,36,"Residential","AC Improved",1900.8504,"Fair",96106.996224
"SS-008176",51,"CRABTREE ST","HOVANEC ST","GILMARTIN DR",306,36,"Residential","AC Improved",11016,"Fair",561816
"SS-017530",74.48,"MARINE ST","HERSCHEL AV","HIGH AV",355.4131,52,"Residential","AC Improved",18481.4812,"Good",1376500.719776
"SS-003134",38.75,"AVNDA CRESTA","CAM DE LA COSTA","AVNDA CORTEZ",1030.3467,30,"Residential","PCC Jointed Concrete",30910.401,"Poor",1197778.03875
"SS-018787",39,"MONROE AV","GEORGIA ST","FLORIDA ST",382.0051,52,"Collector","AC Improved",19864.2652,"Poor",774706.3428
"SS-020619",82.41,"ORANGE AV","44TH ST","HIGHLAND AV",333.054,52,"Collector","AC Improved",17318.808,"Good",1427242.96728
"SS-022538",71.15,"QUINCE ST","NILE ST","VANCOUVER AV",377.059,40,"Residential","AC Improved",15082.36,"Good",1073109.914
"SS-029332",31.79,"S 29TH ST","FRANKLIN AV","OCEAN VIEW BL",380.0104,40,"Residential","AC Improved",15200.416,"Poor",483221.22464
"SS-010118",59,"ELDER AV","GRANGER (SB) ST","15TH (SB) ST",199.2104,60,"Residential","AC Improved",11952.624,"Fair",705204.816
"SS-031586",67.01,"WYATT CT","WYATT PL","END",85.9387,50,"Residential","AC Improved",4296.935,"Fair",287937.61435
"SS-024764",39,"SENDA ACANTILADA","BEGIN","VIA ACANTILADA",223.1272,30,"Residential","AC Improved",6693.816,"Poor",261058.824
"SS-024714",27.74,"SEDERO CT","CABELA DR","END",71.1127,62,"Residential","AC Improved",4408.9874,"Poor",122305.310476
"SS-022185",56.57,"POMERADO RD","PASEO DEL VERANO NOR","BERNARDO TRAILS DR",1291,82,"Major","AC Improved",105862,"Fair",5988613.34
"SS-023289",39,"RIVIERA DR","GRAHAM ST","FORTUNA AV",449.9076,38,"Prime","AC Improved",17096.4888,"Poor",666763.0632
"SS-026323",43.21,"TETILLAS CT","BEGIN","AVNDA SIVRITA",71.589,55,"Residential","AC Improved",3937.395,"Fair",170134.83795
"SS-016348",75.94,"LEWISTON ST","MERIDEN LN","BREWSTER CT",245.7725,36,"Residential","AC Improved",8847.81,"Good",671902.6914
"SS-015964",71.7,"LANDFAIR RD","ROXTON CR","HIGH BLUFF DR",195.3634,36,"Residential","AC Improved",7033.0824,"Good",504272.00808
"SS-025938",85.26,"SUNSET RIDGE DR","ASHLAR PL","ANCONA LN",190.7479,40,"Prime","AC Improved",7629.916,"Good",650526.63816
"SS-010139",54.61,"ELDERWOOD LN","SPRING CANYON RD","ELDERWOOD CT",618.3855,36,"Residential","AC Improved",22261.878,"Fair",1215721.15758
"SS-020342",85.54,"OCEANVIEW RIDGE LN","SEAPOINT WY","HILLBRAE CT",291.4422,34,"Residential","AC Improved",9909.0348,"Good",847618.836792
"SS-028075",46.31,"VISTA LA CUESTA DR","VISTA LA CUESTA CT","END",178.5188,36,"Residential","AC Improved",6426.6768,"Fair",297619.402608
"SS-022854",38.93,"RED ROCK CT","BEGIN","RED ROCK DR",287.2212,30,"Residential","AC Improved",8616.636,"Poor",335445.63948
"SS-010909",61.75,"FARLEY LN","FARLEY DR","END",130.9077,30,"Residential","AC Improved",3927.231,"Fair",242506.51425
"SS-022421",57.86,"PROSPECT PL","BEGIN","OLIVET LN",164.1462,39,"Residential","AC Improved",6401.7018,"Fair",370402.466148
"SS-009179",75.72,"DIAMOND ST","NOYES ST","OLNEY ST",579.1864,20,"Local","AC Improved",11583.728,"Good",877119.88416
"SS-023839",51.55,"RUSSMAR DR","BEGIN","GOWDY AV",259.9998,30,"Residential","AC Improved",7799.994,"Fair",402089.6907
"SS-025657",23.7,"STRANDWAY","PACIFIC BEACH DR","OLIVER AV",332.7763,40,"Residential","PCC Jointed Concrete",13311.052,"Poor",315471.9324
"SS-003628",85.1,"BARTEL PL","BARTEL ST","END",256.0018,36,"Residential","AC Improved",9216.0648,"Good",784287.11448
"SS-015322",78.1,"KNOXVILLE ST","SAVANNAH ST","MORENA BL",323.6001,39,"Prime","AC Improved",12620.4039,"Good",985653.54459
"SS-019825",48.86,"NEW YORK ST","MADISON AV","GOLDEN GATE DR",142.4742,40,"Residential","AC Improved",5698.968,"Fair",278451.57648
"SS-011223",80.54,"FLORENCE ST","S 38TH ST","S 39TH ST",660.3666,40,"Residential","AC Improved",26414.664,"Good",2127437.03856
"SS-023060",60.86,"REO DR","BANBURY ST","REO PL",251.641,64,"Collector","AC Improved",16105.024,"Fair",980151.76064
"SS-003821",51,"BEATRICE ST","LOCKFORD AV","PARKSIDE AV",244.2041,36,"Residential","AC Improved",8791.3476,"Fair",448358.7276
"SS-023064",25.87,"REO PL","REO DR","END",292.6683,30,"Residential","AC Improved",8780.049,"Poor",227139.86763
"SS-017365",42.89,"MANOS DR","ARES WY","PETTIGO DR",223.893,36,"Local","AC Improved",8060.148,"Fair",345699.74772
"SS-017367",47.5,"MANOS DR","DEMETER WY","ARES WY",223.8973,36,"Local","AC Improved",8060.3028,"Fair",382864.383
"SS-011829",87.83,"GARBER AV","ANALIESE WY","PLATO DR",263.4333,40,"Residential","AC Improved",10537.332,"Good",925493.86956
"SS-007037",39,"CHATTANOOGA ST","BEGIN","HOPKINS ST",561.9687,36,"Residential","AC Improved",20230.8732,"Poor",789004.0548
"SS-021305",45.52,"PARKSIDE AV","LANDSCAPE DR","GARBER AV",251.7047,39,"Collector","AC Improved",9816.4833,"Fair",446846.319816
"SS-005650",51,"CALLEJON","CALLE CASAS BONITAS","CALLE SALIDA DEL SOL",363.0495,30,"Residential","AC Improved",10891.485,"Fair",555465.735
"SS-010619",86.94,"EVERGREEN AV","16TH (SB) ST","THERMAL AV",692.0263,36,"Residential","AC Improved",24912.9468,"Good",2165931.594792
"SS-005609",39,"CALLE SAL SI PUEDES","CALLE FELICIDAD","CALLE CUMBRE",496.4476,30,"Residential","AC Improved",14893.428,"Poor",580843.692
"SS-013637",47.93,"HOLLISTER ST","INDUSTRIAL BL","MANYA ST",497.009,55,"Prime","AC Improved",27335.495,"Fair",1310190.27535
"SS-030469",57,"REGATTA LN","DENNERY RD","RED SAILS WY",632.7054,40,"Residential","AC Improved",25308.216,"Fair",1442568.312
"SS-012937",82.88,"HALLEY ST","TRADEWIND AV","THERMAL AV",457.0172,36,"Residential","AC Improved",16452.6192,"Good",1363593.079296
"SS-005313",100,"CACTUS RD","CACTUS CT","CALLE DE LINEA",1204.6655,64,"Major","AC Unimproved",77098.592,"Good",7709859.2
"SS-021534",83.66,"PEARLMAN WY","BAYWIND PT","CARMEL KNOLLS DR",532.5284,36,"Residential","AC Improved",19171.0224,"Good",1603847.733984
"SS-010674",65.21,"EVERTS ST","LORING ST","OPAL ST",373.2803,34,"Residential","AC Improved",12691.5302,"Fair",827614.684342
"SS-011365",41.27,"FORTUNA AV","INGRAHAM ST","JEWELL ST",583.0619,38,"Local","AC Improved",22156.3522,"Fair",914392.655294
"SS-020493",34.53,"OLIVER AV","BAYARD ST","CASS ST",580.388,40,"Residential","PCC Jointed Concrete",23215.52,"Poor",801631.9056
"SS-023491",71.66,"ROOSEVELT AV","LAMONT ST","CROWN POINT DR",215.3742,40,"Residential","AC Improved",8614.968,"Good",617348.60688
"SS-021341",56.12,"PASATIEMPO AV","CAMTO TENEDOR","BRYNWOOD WY",993.1784,40,"Residential","AC Improved",39727.136,"Fair",2229486.87232
"SS-022471",45.9,"QUALCOMM WY","CAM DEL RIO NORTH","CAM DE LA REINA",198.523,102,"Major","AC Improved",20249.346,"Fair",929444.9814
"SS-020581",83.55,"ORANGE AV","WABASH AV","FELTON ST",176.0278,52,"Collector","AC Improved",9153.4456,"Good",764770.37988
"SS-028217",87.37,"WALNUT AV","03RD AV","04TH AV",196.0032,52,"Collector","AC Improved",10192.1664,"Good",890489.578368
"SS-022814",44.05,"REATA WY","ESCALA DR","FERNANDO DR",260.1856,36,"Residential","AC Improved",9366.6816,"Fair",412602.32448
"SS-027716",76.05,"VIA DEL SUD","AVNDA DEL GENERAL","CALLE CABALLEROS",261.5127,40,"Residential","AC Improved",10460.508,"Good",795521.6334
"SS-032144",85.08,"LAS CALIFORNIAS ","BEGIN","OTAY PACIFIC PL",233.4202,30,"Major","AC Improved",7002.606,"Good",595781.71848
"SS-011072",49.32,"FERNANDO DR","FERNANDO WY","REATA WY",841.8052,36,"Residential","AC Improved",30304.9872,"Fair",1494641.968704
"SS-031804",83.89,"CAROWIND LN","OLD CREEK RD","WHISPERING RIDGE RD",438.6481,34,"Residential","AC Improved",14914.0354,"Good",1251138.429706
"SS-021387",84.27,"PASEO DEL VERANO","PLAZA GITANA","PLAZA KARENA",253.9463,40,"Major","AC Improved",10157.852,"Good",856002.18804
"SS-027646",74.38,"VIA CHONA","CALLE VIVIENDA","END",313.3602,30,"Residential","AC Improved",9400.806,"Good",699231.95028
"SS-022107",53.54,"POLARIS DR","DEWSBURY AV","BRENTFORD AV",439.0183,36,"Residential","AC Improved",15804.6588,"Fair",846181.432152
"SS-026850",48.74,"TRIPP CT","SORRENTO VALLEY RD","END",249.8699,50,"Residential","AC Improved",12493.495,"Fair",608932.9463
"SS-026158",43.67,"TANSY ST","ROSELLE ST","END",460.9634,23,"Residential","PCC Jointed Concrete",10602.1582,"Fair",462996.248594
"SS-023483",39.68,"RONSON RD","MERCURY ST","RONSON CT",881.0008,50,"Prime","AC Improved",44050.04,"Poor",1747905.5872
"SS-021094",21.67,"PALOMAR AV","CAM DE LA COSTA","AVNDA CRESTA",314.3263,30,"Prime","AC Improved",9429.789,"Poor",204343.52763
"SS-016423",54.5,"LIMERICK AV","PAOLA WY","LIMERICK WY",244.7609,40,"Prime","AC Improved",9790.436,"Fair",533578.762
"SS-019220",46.91,"MT ALIFAN DR","MT BARNARD AV","MT CULEBRA AV",494.1063,40,"Residential","AC Improved",19764.252,"Fair",927141.06132
"SS-027407",54.32,"VAN NUYS PL","VAN NUYS ST","END",124.9521,30,"Residential","PCC Jointed Concrete",3748.563,"Fair",203621.94216
"SS-004456",100,"BLUE LAKE DR","AMBER LAKE AV","ANVIL LAKE AV",231.0085,40,"Residential","AC Improved",9240.34,"Good",924034
"SS-028985",83.55,"WINONA AV","UNIVERSITY AV","OAKCREST DR",659.1282,36,"Residential","AC Improved",23728.6152,"Good",1982525.79996
"SS-014486",69,"JAMACHA RD","CADMAN ST","TIBBETT ST",247,40,"Residential","AC Improved",9880,"Fair",681720
"SS-020301",84.93,"OCEAN VIEW BL","S 28TH ST","S 29TH ST",659.003,52,"Prime","AC Improved",34268.156,"Good",2910394.48908
"SS-008577",78.5,"DAHLIA (SB) AV","18TH ST","AVNDA DEL MEXICO",660.0917,40,"Residential","AC Improved",26403.668,"Good",2072687.938
"SS-007518",44.12,"COLEMAN CT","COLEMAN AV","TWINING AV",641.5467,30,"Residential","AC Improved",19246.401,"Fair",849151.21212
"SS-027834",82.24,"VIA PAPEETE","HAWAII AV","ORCHID WY",281.9744,36,"Local","AC Improved",10151.0784,"Good",834824.687616
"SS-001992",45.41,"ALASKA ST","NORSTAD ST","GIVENS ST",588.0415,36,"Local","AC Improved",21169.494,"Fair",961306.72254
"SS-012180",32.66,"GLADING DR","PICCARD AV","RALPH WY",1242.5584,36,"Residential","AC Improved",44732.1024,"Poor",1460950.464384
"SS-024467",51.63,"SCHIRRA ST","NORSTAD ST","GIVENS ST",540.0082,36,"Local","AC Improved",19440.2952,"Fair",1003702.441176
"SS-021758",82.32,"PICCARD AV","GLADING DR","COLDWELL LN",249.0179,40,"Prime","AC Improved",9960.716,"Good",819966.14112
"SS-002202",80.02,"ALOSTA ST","REVENA ST","BIOLA AV",657.7774,36,"Residential","AC Improved",23679.9864,"Good",1894872.511728
"SS-021505",39,"PAXTON DR","SEWELL AV","PAXTON CT",245.0185,36,"Residential","AC Improved",8820.666,"Poor",344005.974
"SS-030009",100,"W SAN YSIDRO BL","ISLA DEL CARMEN WY","EL PORVENIR WY",254.8099,40,"Prime","AC Improved",10192.396,"Good",1019239.6
"SS-028038",87.45,"VISTA (SB) LN","DAIRY MART RD","ISLA DE LA GAITA",187.024,40,"Prime","AC Improved",7480.96,"Good",654209.952
"SS-012110",83.97,"GIGANTIC ST","EXCELLANTE ST","CENTURION ST",663.0283,64,"Residential","AC Improved",42433.8112,"Good",3563167.126464
"SS-028040",86.77,"VISTA (SB) LN","VIA ENCANTADORAS","VIA DEL TANIDO",329.0061,40,"Prime","AC Improved",13160.244,"Good",1141914.37188
"SS-007985",82.8,"CORONADO (SB) AV","CAM TERNURA","CAM ALETA",240,52,"Residential","AC Improved",12480,"Good",1033344
"SS-007986",69,"CORONADO (SB) AV","HAWAII AV","CAM TERNURA",286,52,"Residential","AC Improved",14872,"Fair",1026168
"SS-013200",50,"HAWAII AV","REEF DR","CORONADO (SB) AV",290.0273,36,"Residential","AC Improved",10440.9828,"Fair",522049.14
"SS-007998",83.77,"CORONADO (SB) AV","18TH ST","SATURN BL",659.029,82,"Major","AC Improved",54040.378,"Good",4526962.46506
"SS-008733",67.05,"DARWIN AV","PICCARD AV","PETERLYNN DR",1178.0339,36,"Residential","AC Improved",42409.2204,"Fair",2843538.22782
"SS-024330",55.92,"SANYO AV","OTAY MESA RD","CARNOUSTIE RD",695.1841,64,"Major","AC Improved",44491.7824,"Fair",2487980.471808
"SS-020978",42.58,"PADRE TULLIO DR","MT CARMEL DR","LASHLEE LN",829.3863,36,"Residential","AC Improved",29857.9068,"Fair",1271349.671544
"SS-019299",47.65,"MT CARMEL DR","PADRE TULLIO DR","END",533.9999,36,"Residential","AC Improved",19223.9964,"Fair",916023.42846
"SS-001913",84.81,"AIRWAY RD","BRITANNIA BL","DUBLIN DR",1334.13,20,"Major","AC Improved",26682.6,"Good",2262951.306
"SS-001916",63.87,"AIRWAY RD","CENTURION ST","LA MEDIA RD",1335.5585,20,"Collector","AC Improved",26711.17,"Fair",1706042.4279
"SS-001921",100,"AIRWAY RD","HARVEST RD","HEINRICH HERTZ DR",1137.2533,20,"Collector","AC Improved",22745.066,"Good",2274506.6
"SS-009726",57,"EAST BEYER BL","BEYER BL","MESA AV",213,45,"Collector","AC Improved",9585,"Fair",546345
"SS-030715",75.6,"CORAL SHORES CT","BEGIN","CORAL GATE LN",107.7551,34,"Residential","AC Improved",3663.6734,"Good",276973.70904
"SS-006442",53.84,"CARMEL MTN RD","GERANA ST","PENASQUITOS DR",1748.8907,66,"Major","AC Improved",115426.7862,"Fair",6214578.169008
"SS-019963",39.2,"NOB AV","CORDERO RD","DE MAYO RD",398.4356,40,"Residential","AC Improved",15937.424,"Poor",624747.0208
"SS-030401",100,"CYPRESS CANYON PARK DR","CITY BOUNDARY","CANDY ROSE WY",92.9723,30,"Prime","AC Improved",2789.169,"Good",278916.9
"SS-008503",47.79,"CUVIER ST","PROSPECT ST","COAST SOUTH BL",411.6497,41,"Residential","AC Improved",16877.6377,"Fair",806582.305683
"SS-001765",100,"ADAMS AV","OREGON ST","IDAHO ST",377.0052,52,"Collector","AC Improved",19604.2704,"Good",1960427.04
"SS-021068",39,"PALM ST","29TH ST","DALE ST",325.6181,40,"Residential","AC Improved",13024.724,"Poor",507964.236
"SS-013806",39,"HOWARD (SB) AV","VIA SUSPIRO","VIA COSTINA",1034.0699,40,"Prime","AC Improved",41362.796,"Poor",1613149.044
"SS-031431",76.62,"WILD MEADOW PL","FORTINO PT","END",51.0393,36,"Local","AC Improved",1837.4148,"Good",140782.721976
"SS-031584",86.26,"CIMARRON WY","HAWKEN DR","WYATT PL",1325.762,36,"Residential","AC Improved",47727.432,"Good",4116968.28432
"SS-031619",58,"VIA ANDAR","VIA BRILLANTE","VIA AMABLE",172.5618,32,"Prime","AC Improved",5521.9776,"Fair",320274.7008
"SS-031620",33.6,"VIA ANDAR","VIA AMABLE","VIA PRECIPICIO",146.3613,32,"Prime","AC Improved",4683.5616,"Poor",157367.66976
"SS-031625",38.55,"VIA PASEAR","VIA PRECIPICIO","VIA AMABLE",186.5994,32,"Prime","AC Improved",5971.1808,"Poor",230189.01984
"SS-031642",76.37,"BRIARCREST PL","BEGIN","WHITE OAK LN",138.0661,34,"Residential","AC Improved",4694.2474,"Good",358499.673938
"SS-031647",76.16,"VINWOOD CT","BRIARCREST PL","END",173.0875,34,"Residential","AC Improved",5884.975,"Good",448199.696
"SS-031660",87.96,"DEL MAR MESA RD","ANDERSON RIDGE PL","LITTLE MCGONIGLE RAN RD",1817.0716,30,"Collector","AC Improved",54512.148,"Good",4794888.53808
"SS-000807",7,"33RD ST","HAWTHORN ST","HIGHVIEW DR",161.8046,60,"Residential","AC Improved",9708.276,"Poor",67957.932
"SS-031813",87.74,"VIA SANTA BRISA","APPLEWOOD CT","WHISPERING RIDGE RD",903.2269,34,"Residential","AC Improved",30709.7146,"Good",2694470.359004
"SS-024715",45.65,"SEDGE CT","BEGIN","VERVAIN ST",122.8007,30,"Residential","AC Improved",3684.021,"Fair",168175.55865
"SS-008224",78.16,"CREEKWOOD LN","SARSAPARILLA ST","END",262.1219,30,"Residential","AC Improved",7863.657,"Good",614623.43112
"SS-014537",100,"JARDIN RD","ALONDRA DR","PALMERO DR",459.109,30,"Residential","AC Improved",13773.27,"Good",1377327
"SS-023408",45.37,"RODADA DR","NACIDO DR","LOMICA DR",266.3623,36,"Major","AC Improved",9589.0428,"Fair",435054.871836
"SS-021023",79.24,"PALLUX WY","VIRGO PL","BOREALIS RD",560.1082,36,"Residential","AC Improved",20163.8952,"Good",1597787.055648
"SS-011102",65.72,"FIGTREE CT","FIGTREE ST","END",139.6967,30,"Residential","AC Improved",4190.901,"Fair",275426.01372
"SS-013331",67.87,"HENDRICKS CT","BEGIN","HEMPHILL DR",150.3596,30,"Residential","AC Improved",4510.788,"Fair",306147.18156
"SS-001694",63.95,"ACUNA ST","RUSHDEN AV","LIMERICK AV",739.1515,40,"Residential","AC Improved",29566.06,"Fair",1890749.537
"SS-015302",40.23,"KLEEFELD AV","BEGIN","VALLEJO AV",149.4524,30,"Residential","AC Improved",4483.572,"Fair",180374.10156
"SS-027998",51.86,"VINCENTE WY","DOWLING DR","END",186.8933,30,"Local","AC Improved",5606.799,"Fair",290768.59614
"SS-027643",39,"VIA CARROZA","BEGIN","VIVARACHO WY",103.7305,30,"Residential","AC Improved",3111.915,"Poor",121364.685
"SS-023750",39,"RUEDA CT","RUEDA DR","END",159.4521,30,"Residential","AC Improved",4783.563,"Poor",186558.957
"SS-000942",79.4,"39TH ST","MADISON AV","END",369.0866,36,"Residential","AC Improved",13287.1176,"Good",1054997.13744
"SS-023092",39,"REX AV","SHILOH RD","END",510.5652,30,"Residential","AC Improved",15316.956,"Poor",597361.284
"SS-012646",45.14,"GREENE ST","MENDOCINO BL","BOLINAS ST",161.4001,40,"Residential","AC Improved",6456.004,"Fair",291424.02056
"SS-015973",24.75,"LANDIS ST","TEXAS ST","ARIZONA ST",340.9143,40,"Residential","AC Improved",13636.572,"Poor",337505.157
"SS-001304",74.67,"54TH ST","OLIVE ST","COLLEGE GROVE DR",319.5536,60,"Major","AC Improved",19173.216,"Good",1431664.03872
"SS-000816",45.38,"33RD ST","E ST","E ST",143.0315,40,"Residential","AC Improved",5721.26,"Fair",259630.7788
"SS-025958",57.5,"SUPERBA ST","S 38TH ST","S 39TH ST",661.0007,30,"Residential","AC Improved",19830.021,"Fair",1140226.2075
"SS-028536",60.98,"WEST ST","IMPERIAL AV","END",881.0819,30,"Residential","AC Improved",26432.457,"Fair",1611851.22786
"SS-026799",59.77,"TREMAINE WY","THERMAL AV","LEON AV",997.6724,36,"Residential","AC Improved",35916.2064,"Fair",2146711.656528
"SS-005349",51.89,"CAITHNESS DR","SHOOTING STAR DR","ANTARES DR",490.0129,36,"Residential","AC Improved",17640.4644,"Fair",915363.697716
"SS-021898",39,"PLANTEL WY","TEQUILA WY","DAIRY MART RD",486.0165,36,"Residential","AC Improved",17496.594,"Poor",682367.166
"SS-026375",72.01,"THERMAL AV","TREMAINE WY","LEON AV",147.0136,40,"Collector","AC Improved",5880.544,"Good",423457.97344
"SS-004180",51.68,"BEYER BL","DAIRY MART RD","PRECISION PARK LN",907.5662,68,"Major","AC Improved",61714.5016,"Fair",3189405.442688
"SS-015659",48.41,"LA MEDIA RD","OTAY MESA RD","ST ANDREWS AV",654.1292,59,"Major","AC Improved",38593.6228,"Fair",1868317.279748
"SS-004238",71.03,"BIOLA AV","CABRENA ST","CORBIN ST",248.4333,36,"Residential","AC Improved",8943.5988,"Good",635263.822764
"SS-010106",51,"EL PORVENIR WY","LONJA WY","ISLA DEL CARMEN WY",827.6214,36,"Residential","AC Improved",29794.3704,"Fair",1519512.8904
"SS-030008",84.65,"W SAN YSIDRO BL","EL PORVENIR WY","HOWARD (SB) AV",236.9662,40,"Prime","AC Improved",9478.648,"Good",802367.5532
"SS-027787",55.1,"VIA LAS TONADAS","CTE LAS TONADAS","VISTA (SB) LN",267.002,30,"Residential","AC Improved",8010.06,"Fair",441354.306
"SS-005300",62.96,"CABRENA ST","BIOLA AV","ATHERTON AV",628.0009,36,"Residential","AC Improved",22608.0324,"Fair",1423401.719904
"SS-011928",73.48,"GATEWAY PARK DR","HERITAGE RD","END",150.0134,50,"Residential","AC Improved",7500.67,"Good",551149.2316
"SS-004241",76.67,"BIOLA AV","ATHERTON AV","CABRENA ST",871.4799,36,"Residential","AC Improved",31373.2764,"Good",2405389.101588
