"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SS-026230",49.23,"TEBO CT","PICADOR BL","ROBB ROY PL",166.9425,36,"Residential","AC Improved",6009.93,"Fair",295868.8539
"SS-000142",35.32,"04TH AV","K ST","J ST",384.0207,52,"Collector","AC Improved",19969.0764,"Poor",705307.778448
"SS-018010",78.48,"MELBOURNE DR","SHAWN AV","IRVINGTON AV",573.9765,41,"Residential","AC Improved",23533.0365,"Good",1846872.70452
"SS-003701",34.29,"BAYARD ST","REED AV","THOMAS AV",353.1412,39,"Residential","PCC Jointed Concrete",13772.5068,"Poor",472259.258172
"SS-031607",28.28,"QUINCE DR","06TH AV","QUINCE ST",261.0937,30,"Collector","AC Improved",7832.811,"Poor",221511.89508
"SS-022369",75.72,"PRINCESS ST","SPINDRIFT DR","CITY BOUNDARY",168.1292,30,"Residential","AC Improved",5043.876,"Good",381922.29072
"SS-007349",83.43,"CLAVELITA ST","ARLISS CT","DEL SUR BL",545.4809,40,"Residential","AC Improved",21819.236,"Good",1820378.85948
"SS-014218",100,"IRIS AV","ALBATA CT","ROCHDALE LN",245.0736,36,"Local","AC Improved",8822.6496,"Good",882264.96
"SS-002743",51.55,"ARLISS CT","CLAVELITA ST","END",183.7307,30,"Residential","AC Improved",5511.921,"Fair",284139.52755
"SS-014833",45.26,"K ST","19TH ST","20TH ST",272.0295,52,"Residential","AC Improved",14145.534,"Fair",640226.86884
"SS-014834",28.94,"K ST","22ND ST","24TH ST",483.0373,52,"Residential","AC Improved",25117.9396,"Poor",726913.172024
"SS-017949",78.95,"MEADOWBROOK DR","GLOAMING AV","MEADOWBROOK CT",334.3894,35,"Collector","AC Improved",11703.629,"Good",924001.50955
"SS-000899",13.47,"36TH ST","K ST","J ST",356.5026,36,"Collector","AC Improved",12834.0936,"Poor",172875.240792
"SS-024180",61.06,"SAN VICENTE ST","SAN VICENTE WY","SAN VICENTE CT",482.945,40,"Residential","AC Improved",19317.8,"Fair",1179544.868
