,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
0,39.67,EL PASEO GRANDE,CALLE CLARA,VALLECITOS,Poor,20111003,1810,EL PASEO GRANDE,CALLE CLARA,0,B,3,A,13,A,A,H
1,86.43,MONTEZUMA RD,COLLWOOD BL,YERBA SANTA DR,Good,20110427,1420,MONTEZUMA RD,YERBA SANTA RD,0,A,3,A,08,A,A,H
2,51.44,MIRAMAR RD,BLACK MTN RD,KEARNY VILLA RD,Fair,20110518,1030,MIRA MAR RD,KEARNY VILLA RD,0,A,4,A,12,A,A,H
3,65.88,EL CAJON BL,46TH ST,46TH ST,Fair,20110530,1738,EL CAJON BL,36TH ST,0,A,2,A,03,A,A,H
4,51.34,MONROE AV,MISSION AV,ALABAMA ST,Fair,20110529,2237,MONROE AV,ALABAMA ST,0,A,3,A,08,C,A,H
5,78.45,EUCLID AV,ELM ST,WESTOVER PL,Good,20110103,1730,EUCLID AV,WOVER ST,0,B,4,A,03,C,A,H
6,78.8,MISSION BL,SAN RAFAEL PL,VENICE CT,Good,20110103,1010,MISSION BL,SAN RAFAEL,0,B,4,A,03,A,A,H
7,51,SAN DIEGO MISSION RD,MISSION VILLAGE DR,RANCHO MISSION RD,Fair,20110101,1856,SAN DIEGO  MISSION RD,RANCHO MISSION,0,A,4,A,03,B,A,H
8,54.34,MIRAMAR RD,CABOT DR,CAM RUIZ,Fair,20110104,2356,MIRAMAR RD,CAMINO RUIZ,0,A,3,A,09,C,A,H
9,43.86,FAIRMOUNT AV OFF RA,FAIRMOUNT AV,END,Fair,20110104,1441,FAIRMOUNT AV,FAIRMOUNT AV 4400,0,A,4,A,08,A,A,H
10,86.05,CYPRESS CANYON PARK DR,POMERADO RD,CYPRESS CANYON RD,Good,20110104,1000,CYPRESS CANYON,POMERADO RD,0,A,3,-,- ,A,A,H
11,85.71,OTAY MESA RD,BAY CREST LN,AIRWAY RD,Good,20110101,1754,OTAY MESA RD,ALTA RD,0,A,3,A,03,C,A,H
12,85.8,COMPASS LAKE DR,TWIN LAKE DR,CORAL LAKE AV,Good,20110103,0813,COMPASS LAKE DR,CORAL LAKE DR,0,B,4,A,21,A,B,H
13,61.61,70TH ST,BEGIN,AMHERST ST,Fair,20110103,1535,04TH ST,ASH ST,0,B,3,A,12,A,A,H
14,64.84,JACKSON DR,HYDE PARK DR,NAVAJO RD,Fair,20110105,1040,JACKSON DR,HYDE PARK DR,0,A,1,A,10,A,A,H
15,69,BALBOA AV,MT RIAS PL,CANNINGTON DR,Fair,20110114,1854,BALBOA AV,MOUNT RIAS PL,0,A,1,C,18,D,A,H
16,62.41,PASEO DE LAS AMERICAS,SIEMPRE VIVA RD,MARCONI DR,Fair,20110310,1804,PASEO DE LAS AMERICAS,SIEMPRE VIVA RD,0,A,1,A,10,B,A,H
17,87.54,LINDA VISTA RD,FULTON ST,LEVANT ST,Good,20110111,0815,LINDA VISTA RD,LEVANT ST,S,A,4,A,03,A,A,H
18,84.47,47TH ST,HILLTOP DR,C ST,Good,20110106,1834,47TH ST,HILLTOP DR,S,B,3,A,01,C,A,D
19,23.94,MARKET ST,24TH ST,25TH ST,Poor,20110111,1030,MARKET,25TH ST,0,A,4,A,08,A,A,H
20,41.87,OTAY MESA RD,INNOVATIVE DR,HERITAGE RD,Fair,20110122,0855,OTAY MESA RD,HERITAGE RD,0,A,3,A,08,A,A,H
21,36.16,CYPRESS AV,ALBERT ST,HERBERT ST,Poor,20110123,1605,CYPRESS AV,HERBEI-ST,0,A,3,A,13,A,A,H
22,28.37,CRAWFORD ST,ORCUTT AV,ZION AV,Poor,20110125,1645,CRAWFORD ST,ZION AV,S,A,0,A,08,A,A,H
23,60.19,GOLD COAST DR,AMBASSADOR AV,CAM RUIZ,Fair,20110125,1050,GOLD COAST,CAMINO RUIZ,0,A,4,A,06,A,A,H
24,43.66,UNIVERSITY AV,SHILOH RD,54TH ST,Fair,20110205,1918,UNIVERSITY AV,54TH ST,0,A,4,A,03,C,A,H
25,47.73,AIRWAY RD,PASEO DE LAS AMERICAS,MICHAEL FARADAY DR,Fair,20110204,1849,AIRWAY RD,PASEO DE LAS AMERICAS,0,A,3,A,12,C,A,H
26,58.15,MIRAMAR RD,PRODUCTION AV,DISTRIBUTION AV,Fair,20110210,0823,MIRAMAR RD,DISTRIBUTION AV,0,A,4,A,12,A,A,H
27,46.73,70TH ST,ALVARADO RD,I-8 EB OFF RA,Fair,20110209,1700,70TH ST,ALVARADO RD,0,A,3,A,06,A,A,H
28,43.99,W WASHINGTON ST,GOLDFINCH ST,HAWK ST,Fair,20110130,1656,W WASHINGTON ST,HAWK ST,0,C,4,A,03,B,B,H
29,37.53,MT ABRAHAM AV,MT ADELBERT DR,MT ACKERMAN DR,Poor,20110129,1648,MOUNT ABRAHAM AV,MOUNT ADELBEI-DR,0,A,3,A,17,A,A,H
30,39,UNIVERSITY AV,CHEROKEE AV,37TH ST,Poor,20110113,1952,UNIVERSITY AV,CHEROKEE AV,0,A,2,A,11,C,A,H
31,69,S WOODMAN ST,WINDWARD ST,BENJAMIN HOLT RD,Fair,20110127,0741,S WOODMAN ST,WINDWARD ST,0,A,4,A,08,A,A,H
32,50.02,EL CAJON BL,WINONA AV,50TH ST,Fair,20110130,1108,EL CAJON BL,WINONA AV,0,A,3,A,08,A,A,H
33,85.9,VOLTAIRE ST,EBERS ST,SUNSET CLIFFS BL,Good,20110128,2242,VOLTAIRE ST,EBERS ST,0,A,4,D,00,C,A,H
34,86.5,MIRAMAR WY,KEARNY VILLA RD RA,KEARNY VILLA RD,Good,20110128,1546,MIRAMAR WY,KEARNY VILLA RD,0,A,3,A,09,A,A,H
35,63.75,ROSECRANS ST,OLIPHANT ST,POE ST,Fair,20110128,2216,ROSECRANS ST,POE ST,0,A,3,A,08,C,A,H
36,64.26,KRENNING ST,51ST ST,COLLURA ST,Fair,20110101,1700,KRENNING ST,54TH ST,0,A,4,A,12,C,A,H
37,69,ROLL DR,SIEMPRE VIVA RD,VIA DE LA AMISTAD,Fair,20110117,0559,ROLL DR,SIEMPRE VIVA RD,0,A,2,A,10,B,A,H
38,69,BALBOA AV,MT RIAS PL,CANNINGTON DR,Fair,20110123,1130,BALBOA AV,CANNINGTON DR,0,A,3,A,03,A,A,H
