,0,1,2,3
0,0,37.570508000000004,-121.98125,"[37.573277250000004, -121.863911125]"
0,0,37.501368,-121.956753,"[37.573277250000004, -121.863911125]"
0,0,37.516909000000005,-121.911767,"[37.573277250000004, -121.863911125]"
0,0,37.519983,-121.57559499999999,"[37.573277250000004, -121.863911125]"
0,0,37.750465999999996,-121.749202,"[37.573277250000004, -121.863911125]"
0,0,37.504514,-122.03291599999999,"[37.573277250000004, -121.863911125]"
0,0,37.648451,-121.84997299999999,"[37.573277250000004, -121.863911125]"
0,0,37.574019,-121.85383300000001,"[37.573277250000004, -121.863911125]"
0,1,33.974883,-117.900676,"[33.920328999999995, -117.81831919999999]"
0,1,33.986270000000005,-117.82128200000001,"[33.920328999999995, -117.81831919999999]"
0,1,34.018195,-117.854821,"[33.920328999999995, -117.81831919999999]"
0,1,33.848733,-117.788357,"[33.920328999999995, -117.81831919999999]"
0,1,33.856473,-117.740177,"[33.920328999999995, -117.81831919999999]"
0,1,33.927561,-117.88708600000001,"[33.920328999999995, -117.81831919999999]"
0,1,33.928179,-117.809285,"[33.920328999999995, -117.81831919999999]"
0,1,33.881158,-117.85478300000001,"[33.920328999999995, -117.81831919999999]"
0,1,33.896324,-117.79656100000001,"[33.920328999999995, -117.81831919999999]"
0,1,33.885514,-117.73016399999999,"[33.920328999999995, -117.81831919999999]"
0,2,33.696115999999996,-117.67596,"[33.64563033333334, -117.63588422222223]"
0,2,33.645736,-117.685503,"[33.64563033333334, -117.63588422222223]"
0,2,33.591304,-117.69751200000002,"[33.64563033333334, -117.63588422222223]"
0,2,33.75249,-117.61241499999998,"[33.64563033333334, -117.63588422222223]"
0,2,33.680226,-117.52614399999999,"[33.64563033333334, -117.63588422222223]"
0,2,33.606687,-117.604358,"[33.64563033333334, -117.63588422222223]"
0,2,33.619671999999994,-117.61208700000002,"[33.64563033333334, -117.63588422222223]"
0,2,33.611945,-117.66586699999999,"[33.64563033333334, -117.63588422222223]"
0,2,33.606497,-117.64311200000002,"[33.64563033333334, -117.63588422222223]"
0,3,35.23575,-120.615973,"[35.19239130434782, -120.58726034782609]"
0,3,35.295232,-120.83546799999999,"[35.19239130434782, -120.58726034782609]"
0,3,35.296958000000004,-120.733134,"[35.19239130434782, -120.58726034782609]"
0,3,35.301198,-120.66093899999998,"[35.19239130434782, -120.58726034782609]"
0,3,35.176010999999995,-120.476757,"[35.19239130434782, -120.58726034782609]"
0,3,35.463544,-120.69291100000001,"[35.19239130434782, -120.58726034782609]"
0,3,35.185911,-120.731793,"[35.19239130434782, -120.58726034782609]"
0,3,34.867662,-120.539904,"[35.19239130434782, -120.58726034782609]"
0,3,35.484968,-120.944419,"[35.19239130434782, -120.58726034782609]"
0,3,35.480206,-120.48131299999999,"[35.19239130434782, -120.58726034782609]"
0,3,35.120888,-120.61966399999999,"[35.19239130434782, -120.58726034782609]"
0,3,34.919894,-120.604969,"[35.19239130434782, -120.58726034782609]"
0,3,34.737964,-120.54373899999999,"[35.19239130434782, -120.58726034782609]"
0,3,35.401931,-120.79936599999999,"[35.19239130434782, -120.58726034782609]"
0,3,35.037198,-120.504593,"[35.19239130434782, -120.58726034782609]"
0,3,35.044396,-120.620199,"[35.19239130434782, -120.58726034782609]"
0,3,35.165504999999996,-120.655942,"[35.19239130434782, -120.58726034782609]"
0,3,35.303925,-120.25656599999999,"[35.19239130434782, -120.58726034782609]"
0,3,34.923013,-120.25946299999998,"[35.19239130434782, -120.58726034782609]"
0,3,34.831792,-120.43350900000002,"[35.19239130434782, -120.58726034782609]"
0,3,34.959340000000005,-120.490081,"[35.19239130434782, -120.58726034782609]"
0,3,35.652910999999996,-120.266428,"[35.19239130434782, -120.58726034782609]"
0,3,35.538803,-120.73985800000001,"[35.19239130434782, -120.58726034782609]"
0,4,34.039034,-118.70799199999999,"[34.19047316666667, -118.84815041666667]"
0,4,34.066117,-118.84634199999999,"[34.19047316666667, -118.84815041666667]"
0,4,34.123286,-118.758541,"[34.19047316666667, -118.84815041666667]"
0,4,34.175961,-118.945108,"[34.19047316666667, -118.84815041666667]"
0,4,34.212716,-118.882102,"[34.19047316666667, -118.84815041666667]"
0,4,34.136077,-118.888919,"[34.19047316666667, -118.84815041666667]"
0,4,34.193326,-118.81868100000001,"[34.19047316666667, -118.84815041666667]"
0,4,34.184974,-118.766912,"[34.19047316666667, -118.84815041666667]"
0,4,34.196026,-118.992531,"[34.19047316666667, -118.84815041666667]"
0,4,34.404104,-118.89777600000001,"[34.19047316666667, -118.84815041666667]"
0,4,34.295652000000004,-118.897875,"[34.19047316666667, -118.84815041666667]"
0,4,34.258404999999996,-118.775026,"[34.19047316666667, -118.84815041666667]"
0,5,37.688826,-122.40893500000001,"[37.6254758, -122.4466388]"
0,5,37.690884000000004,-122.447441,"[37.6254758, -122.4466388]"
0,5,37.681264,-122.480589,"[37.6254758, -122.4466388]"
0,5,37.59897,-122.401991,"[37.6254758, -122.4466388]"
0,5,37.554297999999996,-122.496632,"[37.6254758, -122.4466388]"
0,5,37.526902,-122.51216399999998,"[37.6254758, -122.4466388]"
0,5,37.606627,-122.47721100000001,"[37.6254758, -122.4466388]"
0,5,37.625085999999996,-122.43359299999999,"[37.6254758, -122.4466388]"
0,5,37.65549,-122.422075,"[37.6254758, -122.4466388]"
0,5,37.626411,-122.38575700000001,"[37.6254758, -122.4466388]"
0,6,33.974027,-118.249509,"[34.03620708333333, -118.230750625]"
0,6,34.028127000000005,-118.28483,"[34.03620708333333, -118.230750625]"
0,6,34.007090000000005,-118.25868100000001,"[34.03620708333333, -118.230750625]"
0,6,34.065975,-118.238642,"[34.03620708333333, -118.230750625]"
0,6,34.045405,-118.240454,"[34.03620708333333, -118.230750625]"
0,6,34.043146,-118.251746,"[34.03620708333333, -118.230750625]"
0,6,34.039378,-118.2663,"[34.03620708333333, -118.230750625]"
0,6,34.052913000000004,-118.26433999999999,"[34.03620708333333, -118.230750625]"
0,6,34.029036,-118.23787,"[34.03620708333333, -118.230750625]"
0,6,34.023728000000006,-118.156275,"[34.03620708333333, -118.230750625]"
0,6,34.022502,-118.19961299999999,"[34.03620708333333, -118.230750625]"
0,6,34.080017,-118.262643,"[34.03620708333333, -118.230750625]"
0,6,34.085784000000004,-118.206666,"[34.03620708333333, -118.230750625]"
0,6,34.078195,-118.185502,"[34.03620708333333, -118.230750625]"
0,6,34.05038,-118.211991,"[34.03620708333333, -118.230750625]"
0,6,34.061735,-118.276757,"[34.03620708333333, -118.230750625]"
0,6,34.002844,-118.2164,"[34.03620708333333, -118.230750625]"
0,6,34.045105,-118.185914,"[34.03620708333333, -118.230750625]"
0,6,34.052876,-118.254943,"[34.03620708333333, -118.230750625]"
0,6,34.040587,-118.255404,"[34.03620708333333, -118.230750625]"
0,6,34.020221,-118.28603500000001,"[34.03620708333333, -118.230750625]"
0,6,33.979248,-118.21743799999999,"[34.03620708333333, -118.230750625]"
0,6,33.987728999999995,-118.18659699999999,"[34.03620708333333, -118.230750625]"
0,6,34.052921999999995,-118.14346499999999,"[34.03620708333333, -118.230750625]"
0,7,34.689848,-118.533689,"[34.688669, -118.32373475]"
0,7,34.713333,-118.15278799999999,"[34.688669, -118.32373475]"
0,7,34.74739,-118.369249,"[34.688669, -118.32373475]"
0,7,34.604105,-118.23921299999999,"[34.688669, -118.32373475]"
0,8,34.114708,-118.192098,"[34.124007, -118.11238475]"
0,8,34.194489000000004,-118.138263,"[34.124007, -118.11238475]"
0,8,34.136258000000005,-118.02670400000001,"[34.124007, -118.11238475]"
0,8,34.128284,-118.04773200000001,"[34.124007, -118.11238475]"
0,8,34.168771,-118.05021599999999,"[34.124007, -118.11238475]"
0,8,34.108957000000004,-118.15661499999999,"[34.124007, -118.11238475]"
0,8,34.146665000000006,-118.139459,"[34.124007, -118.11238475]"
0,8,34.169538,-118.16494099999998,"[34.124007, -118.11238475]"
0,8,34.165356,-118.123751,"[34.124007, -118.11238475]"
0,8,34.13946,-118.16664899999999,"[34.124007, -118.11238475]"
0,8,34.139402000000004,-118.128658,"[34.124007, -118.11238475]"
0,8,34.155533,-118.086178,"[34.124007, -118.11238475]"
0,8,34.122671000000004,-118.11291100000001,"[34.124007, -118.11238475]"
0,8,34.050965000000005,-118.11439399999999,"[34.124007, -118.11238475]"
0,8,34.065493,-118.084529,"[34.124007, -118.11238475]"
0,8,34.115272999999995,-118.08826599999999,"[34.124007, -118.11238475]"
0,8,34.090776,-118.095091,"[34.124007, -118.11238475]"
0,8,34.102077,-118.057754,"[34.124007, -118.11238475]"
0,8,34.090728000000006,-118.127527,"[34.124007, -118.11238475]"
0,8,34.074736,-118.145959,"[34.124007, -118.11238475]"
0,9,32.665762,-117.018657,"[32.68547378947368, -116.96623768421054]"
0,9,32.637868,-117.058031,"[32.68547378947368, -116.96623768421054]"
0,9,32.608185,-117.05451200000002,"[32.68547378947368, -116.96623768421054]"
0,9,32.619459,-116.98581999999999,"[32.68547378947368, -116.96623768421054]"
0,9,32.674004,-116.943932,"[32.68547378947368, -116.96623768421054]"
0,9,32.623185,-116.949053,"[32.68547378947368, -116.96623768421054]"
0,9,32.608865,-116.71966,"[32.68547378947368, -116.96623768421054]"
0,9,32.721919,-116.78820400000001,"[32.68547378947368, -116.96623768421054]"
0,9,32.759333000000005,-116.997247,"[32.68547378947368, -116.96623768421054]"
0,9,32.733168,-117.034176,"[32.68547378947368, -116.96623768421054]"
0,9,32.726237,-116.99431799999999,"[32.68547378947368, -116.96623768421054]"
0,9,32.724154,-116.94009299999999,"[32.68547378947368, -116.96623768421054]"
0,9,32.77987,-116.884422,"[32.68547378947368, -116.96623768421054]"
0,9,32.795508,-116.969746,"[32.68547378947368, -116.96623768421054]"
0,9,32.838798,-116.869956,"[32.68547378947368, -116.96623768421054]"
0,9,32.707755999999996,-117.055095,"[32.68547378947368, -116.96623768421054]"
0,9,32.679888,-117.04888999999999,"[32.68547378947368, -116.96623768421054]"
0,9,32.567021999999994,-117.00425,"[32.68547378947368, -116.96623768421054]"
0,9,32.553021,-117.042454,"[32.68547378947368, -116.96623768421054]"
0,10,40.959215,-124.05129199999999,"[40.9980922, -123.8808612]"
0,10,40.855694,-124.066898,"[40.9980922, -123.8808612]"
0,10,40.825486,-124.049485,"[40.9980922, -123.8808612]"
0,10,40.92143,-123.815266,"[40.9980922, -123.8808612]"
0,10,41.093371000000005,-123.673442,"[40.9980922, -123.8808612]"
0,10,40.781218,-123.826383,"[40.9980922, -123.8808612]"
0,10,41.241807,-123.913425,"[40.9980922, -123.8808612]"
0,10,41.307717,-123.587415,"[40.9980922, -123.8808612]"
0,10,41.080058,-124.156283,"[40.9980922, -123.8808612]"
0,10,40.914926,-123.668723,"[40.9980922, -123.8808612]"
0,11,33.387736,-117.44476499999999,"[33.472970625, -117.620420125]"
0,11,33.451469,-117.659056,"[33.472970625, -117.620420125]"
0,11,33.475120000000004,-117.705675,"[33.472970625, -117.620420125]"
0,11,33.42411,-117.606775,"[33.472970625, -117.620420125]"
0,11,33.467371,-117.61350900000001,"[33.472970625, -117.620420125]"
0,11,33.50186,-117.608646,"[33.472970625, -117.620420125]"
0,11,33.528868,-117.701175,"[33.472970625, -117.620420125]"
0,11,33.547231,-117.62376,"[33.472970625, -117.620420125]"
0,12,35.848621,-120.938911,"[35.960357916666666, -121.04632416666668]"
0,12,35.585,-121.041474,"[35.960357916666666, -121.04632416666668]"
0,12,35.663145,-120.7497,"[35.960357916666666, -121.04632416666668]"
0,12,36.085423,-120.818522,"[35.960357916666666, -121.04632416666668]"
0,12,35.886767,-120.60866100000001,"[35.960357916666666, -121.04632416666668]"
0,12,35.746485,-121.223348,"[35.960357916666666, -121.04632416666668]"
0,12,36.092975,-121.549826,"[35.960357916666666, -121.04632416666668]"
0,12,36.248796999999996,-121.38663100000001,"[35.960357916666666, -121.04632416666668]"
0,12,36.038868,-121.244009,"[35.960357916666666, -121.04632416666668]"
0,12,36.205059999999996,-121.01036299999998,"[35.960357916666666, -121.04632416666668]"
0,12,35.989792,-121.05593300000001,"[35.960357916666666, -121.04632416666668]"
0,12,36.133362,-120.92851200000001,"[35.960357916666666, -121.04632416666668]"
0,13,34.261962,-118.336078,"[34.197748857142855, -118.42035128571429]"
0,13,34.255441999999995,-118.421314,"[34.197748857142855, -118.42035128571429]"
0,13,34.286687,-118.43508,"[34.197748857142855, -118.42035128571429]"
0,13,34.237912,-118.48230600000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.265879,-118.456748,"[34.197748857142855, -118.42035128571429]"
0,13,34.230854,-118.36585600000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.178483,-118.43179099999999,"[34.197748857142855, -118.42035128571429]"
0,13,34.222506,-118.444689,"[34.197748857142855, -118.42035128571429]"
0,13,34.147149,-118.463365,"[34.197748857142855, -118.42035128571429]"
0,13,34.199824,-118.44760900000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.195685,-118.490752,"[34.197748857142855, -118.42035128571429]"
0,13,34.178521999999994,-118.45923400000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.148617,-118.433298,"[34.197748857142855, -118.42035128571429]"
0,13,34.149588,-118.48970800000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.173885,-118.34693700000001,"[34.197748857142855, -118.42035128571429]"
0,13,34.1692,-118.372498,"[34.197748857142855, -118.42035128571429]"
0,13,34.150818,-118.368159,"[34.197748857142855, -118.42035128571429]"
0,13,34.140822,-118.39286399999999,"[34.197748857142855, -118.42035128571429]"
0,13,34.207341,-118.400973,"[34.197748857142855, -118.42035128571429]"
0,13,34.185767,-118.388323,"[34.197748857142855, -118.42035128571429]"
0,13,34.165783000000005,-118.399795,"[34.197748857142855, -118.42035128571429]"
0,14,34.368109999999994,-118.489038,"[34.451932666666664, -118.5778051111111]"
0,14,34.440891,-118.501747,"[34.451932666666664, -118.5778051111111]"
