,OBJECTID,COMMON_NAM,DESIG_USE,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,USE_RESTRI,DEDIC_PARK,FULL_NAME,SERV_DIST,UNDEVE,PLAYGROUND,TOT_LOT,BASEB_50_6,BASEB_90,SOFTBALL,MULTIPURP,F_2_BASLET,BASKETB,TENNISCT,SAND_VBALL,FIELD_LIGH,COMFORT_ST,CONCESS_ST,USEABLE_AC,GROSS_ACRE,MAINT_ENT,RECY_WATER,PLAYAREACO,CD,DMS,X_COORD,Y_COORD,YEARACQ,SHAPE_STAR,SHAPE_STLE
13,3995,STANDLEY CP,Community Park,20.72172415,"3547 GOVERNOR DR, 92122",1228D5,UNIVERSITY,DEDIC PK/OS--ORD.,Y,Standley Community Park,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,CP1,N,1.0,1,32 50 58.62146N 117 12 36.60440W,-117.21016789,32.84961707,1874-1964,902634.697265625,5830.99617964365
14,3996,TIERRASANTA CP,Community Park,25.16960434,"11220 Clairemont Mesa Bl., 92124",1250A1,TIERRASANTA,DEDIC PK/OS--ORD.,Y,Tierrasanta Community Park,45.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,CP1,N,1.0,7,32 49 51.24224N 117 05 19.16152W,-117.08865598,32.83090062,1968,1096383.58300781,4268.44329303743
15,3997,ADAMS AVENUE CP,Community Park,0.96587473,"3491 Adams Ave., 92116",1269F3,MID-CITY: NORMAL HEIGHTS,DEDIC PK/OS--ORD.,Y,Adams Ave. Community Park,41.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CP2,N,1.0,3,32 45 46.79997N 117 07 04.08476W,-117.11780132,32.76299999,1962-1989,42073.3359375,853.14901672982
16,3998,OCEAN BEACH CP,Community Park,1.28509284,"1984 EBERS ST, 92107",1267J6,OCEAN BEACH,DEDIC PK/OS--ORD.,Y,Ocean Beach Community Park,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,1.0,2,32 44 42.32346N 117 14 42.64061W,-117.24517795,32.74508985,1944,55978.4208984375,1102.90376510992
17,3999,CLEATOR BILL CP,Community Park,16.72291529,"4412 NIMITZ BLVD, 92107",1268B6,PENINSULA,DEDIC PK/OS--ORD.,Y,Cleator Bill Community Park,45.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,CP1,N,1.0,2,32 44 50.62555N 117 13 59.42847W,-117.23317458,32.74739599,1874-1953,728447.276367188,5236.83373479731
18,4000,PRESIDIO PARK,Regional Park,61.26507283,"2805 PRESIDIO DR, 92110",1268F4,OLD TOWN SAN DIEGO,DEDIC PK/OS--ORD.,Y,Presidio Community Park,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,CP2,N,0.0,3,32 45 28.65146N 117 11 37.96988W,-117.19388052,32.75795874,1901-1975,2668695.89355469,14977.8399946915
19,4001,NORTH PARK CP,Community Park,8.36159186,"4044 Idaho St., 92104",1269D5,GREATER NORTH PARK,SEE L1203 ENTRIES,N,North Park Community Park,41.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,CP2,N,1.0,3,32 45 08.72830N 117 08 03.97400W,-117.13443722,32.75242453,1905-1948,364229.486328125,3928.50807621784
20,4002,COLINA DEL SOL CP,Community Park,31.37090582,"4150 54th Place, 92115",1270A5,MID-CITY: CITY HEIGHTS,DEDIC PK/OS--ORD.,Y,Colina Del Sol Community Park,41.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,CP2,N,2.0,9,32 45 05.70295N 117 04 53.28951W,-117.08146931,32.75158415,1945-1952,1366511.18945313,5854.19713093067
21,4003,CITY HEIGHTS CP,Community Park,9.54896403,"4367 WIGHTMAN ST, 92105",1269H5,MID-CITY: CITY HEIGHTS,DEDIC PK/OS--ORD.,Y,City Heights Community Park,41.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,CP2,N,2.0,9,32 44 48.25390N 117 05 57.88646W,-117.09941291,32.74673719,1948-2002,415951.2109375,4431.45806499925
22,4004,PT LOMA CP,Community Park,10.48590977,"1059 CATALINA BLVD, 92106",1288A2,PENINSULA,DEDIC PK/OS--ORD.,Y,Point Loma Community Park,45.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CP1,N,0.0,2,32 43 29.35513N 117 14 35.49600W,-117.24319333,32.72482087,NA,456764.401367188,3743.53258804573
