"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3422,MTS_59013,MTS,59013,Division St & Euclid Av,32.6893702,-117.08543234,59013,0,,2,N-E/B,diveuc,-117.085420448934,32.6893654367438
3423,MTS_59014,MTS,59014,Harbison Av & Division St,32.69129345,-117.07779283,59014,0,,1,F-S/B,,-117.077780945845,32.6912886871343
3424,MTS_59015,MTS,59015,Munda Rd & Ridgewood Dr,32.68553695,-117.06184583,59015,0,,1,N-N/B,munrdg,-117.061833943013,32.6855321880958
3425,MTS_59016,MTS,59016,Oriskany Rd & Bairoko Rd,32.6861714,-117.05856905,59016,0,,1,F-W/B,,-117.058557169171,32.6861666354888
3426,MTS_59018,MTS,59018,4th St & Euclid Av,32.68621318,-117.08406662,59018,0,,2,F-W/B,4theuc,-117.08405473663,32.6862084181502
3427,MTS_59019,MTS,59019,Oriskany Rd & Munda Rd,32.68584005,-117.06131235,59019,0,,1,F-E/B,rdgmun,-117.061300467534,32.685835285781
3428,MTS_59020,MTS,59020,Harbison Av & E 8th St,32.6854223,-117.07538789,59020,0,,1,F-N/B,,-117.075376009876,32.6854175379514
3429,MTS_60004,MTS,60004,4th St & B Av,32.69337915,-117.17234697,60004,0,,1,F-E/B,,-117.17233507257,32.6933743872933
3430,MTS_60005,MTS,60005,4th St & Adella Ln,32.69272854,-117.17077023,60005,0,,1,N-E/B,,-117.170758329927,32.692723780396
3431,MTS_60020,MTS,60020,Imperial Beach Bl & 3rd St,32.576525,-117.12778414,60020,0,,1,N-E/B,,-117.127772256264,32.5765202493364
3432,MTS_60023,MTS,60023,Imperial Beach Bl & Connecticut St,32.57649385,-117.1189999,60023,0,,1,N-E/B,,-117.118988019043,32.5764891058564
3433,MTS_60024,MTS,60024,Palm Av & 7th St,32.58381852,-117.11822796,60024,0,,1,N-E/B,,-117.118216073085,32.583813769358
3434,MTS_60025,MTS,60025,National City Bl & 35th St,32.65020105,-117.09676352,60025,0,,1,N-N/B,,-117.09675163752,32.6501962904473
3435,MTS_60026,MTS,60026,Imperial Beach Bl & Emory St,32.57646844,-117.1132346,60026,0,,0,N-E/B,,-117.113222713072,32.5764636918843
3436,MTS_60027,MTS,60027,Palm Av & 11th St,32.58374374,-117.11087097,60027,0,,1,N-E/B,,-117.110859092129,32.5837389871827
3437,MTS_60028,MTS,60028,Imperial Beach Bl & 11th St,32.57647794,-117.11030672,60028,0,,0,N-E/B,,-117.110294833046,32.5764731878847
3438,MTS_60029,MTS,60029,Palm Av & 12th St,32.58372795,-117.10840684,60029,0,,1,N-E/B,,-117.108394954241,32.5837232065469
3439,MTS_60031,MTS,60031,Imperial Beach Bl & 13th St,32.57642984,-117.10497942,60031,0,,1,F-E/B,,-117.104967537444,32.5764250892619
3440,MTS_60032,MTS,60032,Imperial Beach Bl & Granger St,32.57643574,-117.10254167,60032,0,,0,N-E/B,,-117.102529784014,32.5764309959973
3441,MTS_60033,MTS,60033,Coronado Av & Atwater St,32.57642869,-117.09998368,60033,0,,1,M-Street-E/B,,-117.099971800787,32.5764239426927
3442,MTS_60034,MTS,60034,Palm Av & 16th St,32.58370586,-117.09970315,60034,0,,1,N-E/B,,-117.099691266514,32.5837011113203
3443,MTS_60035,MTS,60035,Coronado Av & Thalia Av,32.57642516,-117.09810416,60035,0,,1,N-E/B,cortha,-117.098092284688,32.5764204114958
3444,MTS_60036,MTS,60036,Palm Av & Thermal Av,32.5837017,-117.09711576,60036,0,,1,N-E/B,,-117.097103883992,32.583696949
3445,MTS_60039,MTS,60039,Satellite Bl & Saturn Bl,32.56908991,-117.09323639,60039,0,,1,N-E/B,,-117.09322450935,32.5690851672324
3446,MTS_60040,MTS,60040,Palm Av & Saturn Bl,32.58368991,-117.09402837,60040,0,,1,M-Street-E/B,,-117.094016492186,32.5836851669436
3447,MTS_60041,MTS,60041,Coronado Av & Hollister St,32.57641446,-117.08438287,60041,0,,1,N-E/B,corhol,-117.084370994366,32.5764097064561
3448,MTS_60042,MTS,60042,Palm Av & Hollister St (Trolley),32.58367653,-117.08429569,60042,0,,1,N-E/B,plmtro,-117.084283810978,32.5836717800068
3449,MTS_60043,MTS,60043,Tocayo Av & 2362,32.5642976,-117.08136352,60043,0,,1,M-Street-E/B,,-117.08135164559,32.5642928554472
