Region,Top Left Lat,Top Left Lon,Bottom Left Lat,Bottom Left Lon,Top Right Lat,Top Right Lon,Bottom Right Lat,Botton Right Lon
Central,32.7594,-117.192192,32.680256,-117.120781,32.757667,-117.034264,32.709726,-117.020531
East,32.825041,-116.980362,32.558063,-116.885605,32.828503,-116.505203,32.610134,-116.345901
North Central,32.965719,-117.266006,32.702631,-117.245407,32.932299,-117.03804,32.785795,-117.028427
North Coastal,33.368062,-117.542038,32.959958,-117.261887,33.374943,-117.296219,33.035974,-117.120438
North Inland,33.374943,-117.296219,32.943825,-117.105331,33.306932,-116.231232,32.883552,-116.217499
South,32.680834,-117.121468,32.553108,-117.099152,32.707415,-117.006798,32.553017,-116.914787
