GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",1222,96,125370,20257,94.1,3.5,126481,31320,0.0,2.6,-,**,0.0,2.6,-,**,2.1,2.0,(X),(X),0.0,2.6,-,**,2.0,2.3,-,**,1.7,1.7,(X),(X),5.6,3.5,167857,80717,91.2,4.0,124803,23749,0.9,1.4,-,**,18.0,5.7,181250,56809,36.7,6.7,166193,38546,44.4,6.1,85549,9285,757,81,167330,23394,33.7,6.5,226375,77558,66.3,6.5,148750,41872,87.3,6.1,(X),(X),10.4,6.0,(X),(X),2.2,2.4,(X),(X),465,82,51058,47587,74.8,12.6,(X),(X),59.6,15.4,(X),(X),15.3,11.7,(X),(X),25.2,12.6,(X),(X),18.5,10.2,(X),(X),6.7,6.4,(X),(X),30.0,(X),(X),(X),22.9,(X),(X),(X),37.2,(X),(X),(X)
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1065,53,100436,19534,85.4,6.8,101458,24079,0.0,3.0,-,**,0.7,1.1,-,**,7.0,4.7,(X),(X),0.0,3.0,-,**,2.6,4.0,-,**,4.3,3.6,(X),(X),10.9,7.4,177727,176154,77.1,9.0,98603,43794,4.0,4.2,-,**,28.8,7.3,151302,72507,32.3,5.7,108182,29128,34.8,5.6,45039,5746,468,99,150972,54377,27.1,11.0,152257,73256,72.9,11.0,121806,47849,88.9,10.7,126875,54762,1.7,3.1,-,**,9.4,10.8,-,**,597,102,47070,15881,67.3,10.2,(X),(X),55.6,10.0,(X),(X),11.7,7.7,(X),(X),32.7,10.2,(X),(X),20.4,8.0,(X),(X),12.2,8.4,(X),(X),21.4,(X),(X),(X),27.4,(X),(X),(X),16.8,(X),(X),(X)
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",2332,117,60929,18739,89.6,6.0,60774,16332,1.7,2.5,-,**,0.0,1.4,-,**,6.6,4.6,77054,49667,0.0,1.4,-,**,0.8,1.3,-,**,1.4,2.2,-,**,22.4,6.9,53359,20133,71.0,7.6,76935,32034,1.1,1.2,-,**,55.1,6.5,62452,39505,30.0,5.0,84130,38966,13.7,4.6,21800,18745,933,169,101146,33356,44.5,13.7,124698,116631,55.5,13.7,85851,7148,91.1,5.6,(X),(X),7.6,5.3,(X),(X),1.3,1.9,(X),(X),1399,201,51755,7894,40.9,11.0,33750,18830,34.6,10.7,31318,12748,6.3,4.3,84167,39417,59.1,11.0,57023,8973,34.9,11.6,41765,18096,24.2,10.6,87569,56065,16.3,(X),(X),(X),23.3,(X),(X),(X),11.6,(X),(X),(X)
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",2656,222,72979,18137,85.9,5.8,75398,11226,1.9,3.0,-,**,0.0,1.2,-,**,3.5,2.6,98083,74998,0.0,1.2,-,**,2.3,2.9,-,**,6.4,3.7,(X),(X),12.4,5.3,58750,49014,76.5,7.5,74777,15104,4.8,2.6,38462,22416,45.6,6.9,83571,22689,30.6,6.3,81875,37093,18.9,4.3,38456,27874,683,138,81838,35214,32.2,9.5,(X),(X),67.8,9.5,(X),(X),84.8,10.5,(X),(X),8.8,8.5,(X),(X),6.4,7.2,(X),(X),1973,237,62375,22068,41.4,8.2,(X),(X),29.8,7.4,(X),(X),11.6,5.4,(X),(X),58.6,8.2,(X),(X),36.1,7.8,(X),(X),22.5,7.3,(X),(X),18.9,(X),(X),(X),18.6,(X),(X),(X),19.0,(X),(X),(X)
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",2168,103,68099,6673,76.8,8.3,68202,5297,2.2,2.8,-,**,0.0,1.5,-,**,14.7,6.4,79680,44452,0.0,1.5,-,**,1.4,2.2,-,**,4.8,4.2,(X),(X),13.0,6.1,63434,13698,67.9,8.7,68779,3370,5.3,2.8,52500,31894,64.4,7.0,68728,3393,20.9,6.4,79891,33093,9.4,2.9,26078,16066,387,97,80938,18543,33.9,16.9,77026,62603,66.1,16.9,81625,25686,87.9,12.1,78750,17939,0.0,8.1,-,**,12.1,12.1,110605,93065,1781,142,64154,7662,39.3,8.1,(X),(X),29.0,8.7,(X),(X),10.3,4.8,(X),(X),60.7,8.1,(X),(X),44.5,10.0,(X),(X),16.2,7.2,(X),(X),20.9,(X),(X),(X),26.4,(X),(X),(X),19.8,(X),(X),(X)
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",1600,87,56750,6710,81.3,5.6,57108,8406,6.6,4.2,63824,32449,1.0,1.2,-,**,5.1,3.5,(X),(X),0.0,2.0,-,**,2.3,1.8,55114,20318,3.7,2.3,37361,28305,15.7,4.7,46208,13155,69.9,7.1,58512,12827,7.4,4.5,(X),(X),49.2,6.7,(X),(X),27.9,5.2,(X),(X),15.5,3.8,(X),(X),475,81,83750,23726,39.6,10.7,102647,57364,60.4,10.7,82697,19052,65.9,12.5,111094,39152,20.6,9.5,52250,24540,13.5,8.1,84079,27342,1125,97,52869,5894,49.4,8.6,(X),(X),40.1,8.3,(X),(X),9.3,4.3,(X),(X),50.6,8.6,(X),(X),33.9,7.6,(X),(X),16.7,7.3,(X),(X),20.9,(X),(X),(X),28.4,(X),(X),(X),17.8,(X),(X),(X)
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",1677,98,55925,6483,83.1,5.3,57075,13958,5.2,4.0,50000,26955,0.4,0.6,-,**,5.4,2.8,72625,63577,0.5,0.8,-,**,1.1,1.2,-,**,4.3,2.6,44167,24685,13.2,4.4,56705,19808,71.0,6.6,57115,20777,3.8,2.6,23810,5259,45.1,7.0,73819,12047,31.4,5.2,61786,24326,19.7,5.1,33750,19984,388,77,86912,20716,34.8,11.9,74844,68988,65.2,11.9,86985,18852,70.9,13.2,(X),(X),24.0,12.0,(X),(X),5.2,8.0,(X),(X),1289,120,50586,9327,52.3,7.3,(X),(X),36.4,7.4,(X),(X),15.9,6.6,(X),(X),47.7,7.3,(X),(X),33.4,7.6,(X),(X),14.3,5.9,(X),(X),21.0,(X),(X),(X),19.1,(X),(X),(X),21.6,(X),(X),(X)
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",2387,102,72177,8863,86.7,6.6,74207,9834,0.7,1.1,-,**,0.6,1.0,-,**,9.6,6.2,66006,23085,0.0,1.4,-,**,0.6,0.9,-,**,1.8,2.2,-,**,10.0,4.7,80389,7044,77.3,6.5,72347,10875,4.9,4.1,(X),(X),52.1,6.2,(X),(X),28.1,5.9,(X),(X),14.9,3.0,(X),(X),645,168,81936,38710,23.3,15.0,81778,38543,76.7,15.0,82128,58206,79.1,14.0,115500,28792,8.1,7.7,46696,43421,12.9,12.4,-,**,1742,194,66768,11881,52.8,11.4,56056,8046,33.6,9.5,40938,10791,19.2,8.0,71393,21500,47.2,11.4,81364,16757,24.2,9.9,73872,29190,23.0,8.1,103185,45291,22.7,(X),(X),(X),22.9,(X),(X),(X),22.2,(X),(X),(X)
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",2304,178,51164,11939,84.1,5.3,54167,21197,6.8,4.3,25982,23004,0.0,1.4,-,**,3.7,2.5,(X),(X),0.8,1.2,-,**,2.0,1.9,18603,18070,2.5,3.1,-,**,18.1,6.7,46000,39544,68.0,7.3,53125,21564,2.5,3.1,-,**,39.6,7.5,60204,27593,42.7,7.9,50859,42088,15.3,5.1,43861,6219,711,188,64141,20439,35.4,13.3,60459,29180,64.6,13.3,73806,22688,71.9,11.9,(X),(X),17.7,10.5,(X),(X),10.4,8.3,(X),(X),1593,220,43972,11036,39.9,8.6,(X),(X),29.2,9.8,(X),(X),10.7,6.1,(X),(X),60.1,8.6,(X),(X),49.3,9.8,(X),(X),10.9,4.8,(X),(X),24.1,(X),(X),(X),19.1,(X),(X),(X),26.4,(X),(X),(X)
