,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
54,,,1.0,2017-05-09 00:03:00,33.0087343381388-117.0951409662267,1.0,33.0087343381,-117.095140966,Closed,0.0,0.0,2017-05-05 17:31:00,Pothole,Pothole,Closed,78.53333333333333,0.0
56,Balboa Park,,1.0,2017-05-05 14:43:00,32.73666346258772-117.158568658181,0.0,32.7366634626,-117.158568658,Closed,0.0,0.0,2017-05-05 14:04:00,Pothole,Pothole,Closed,0.65,0.0
62,,,1.0,2017-05-12 00:02:00,32.56065944311388-116.97980313224792,0.0,32.5606594431,-116.979803132,Closed,0.0,0.0,2017-05-05 06:23:00,Pothole,Pothole,Closed,161.65,0.0
63,,,1.0,2017-05-12 00:02:00,32.55361958036403-116.98856859130859,1.0,32.5536195804,-116.988568591,Closed,0.0,0.0,2017-05-05 06:21:00,Pothole,Pothole,Closed,161.68333333333334,0.0
64,Point Loma,,1.0,2017-05-18 00:02:00,32.73131271882627-117.2294924875709,1.0,32.7313127188,-117.22949248799999,Closed,0.0,0.0,2017-05-04 18:35:00,Pothole,Pothole,Closed,317.45,0.0
65,Mount Hope,,1.0,2017-05-17 00:02:00,32.71188604312384-117.1056124545636,0.0,32.7118860431,-117.105612455,Closed,0.0,0.0,2017-05-04 17:13:00,Pothole,Pothole,Closed,294.81666666666666,0.0
67,Carmel Mountain Ranch,,1.0,2017-05-16 00:03:00,32.981295-117.076135,1.0,32.981295,-117.07613500000001,Closed,0.0,0.0,2017-05-04 14:49:00,Pothole,Pothole,Closed,273.23333333333335,0.0
70,Rancho Peñasquitos,,1.0,2017-05-11 00:02:00,32.97976456560445-117.0930828579444,1.0,32.9797645656,-117.09308285799999,Closed,0.0,0.0,2017-05-04 11:20:00,Pothole,Pothole,Closed,156.7,0.0
83,Sherman Heights,,1.0,2017-05-17 00:02:00,32.70842404420363-117.1424461578142,0.0,32.7084240442,-117.142446158,Closed,0.0,0.0,2017-05-02 18:54:00,Pothole,Pothole,Closed,341.1333333333333,0.0
84,Barrio Logan,,1.0,2017-05-17 00:02:00,32.70033183510667-117.1483230405647,1.0,32.7003318351,-117.148323041,Closed,0.0,0.0,2017-05-02 17:24:00,Pothole,Pothole,Closed,342.6333333333333,0.0
85,Barrio Logan,,1.0,2017-05-17 00:02:00,32.70035333333333-117.1481388333333,0.0,32.7003533333,-117.14813883299999,Closed,0.0,0.0,2017-05-02 17:23:00,Pothole,Pothole,Closed,342.65,0.0
86,Barrio Logan,,1.0,2017-05-17 00:02:00,32.70146666666667-117.1499721666667,0.0,32.7014666667,-117.149972167,Closed,0.0,0.0,2017-05-02 17:12:00,Pothole,Pothole,Closed,342.8333333333333,0.0
