,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
1,Acknowledged,In process,0,0,2017-05-23T18:06:00,,1,0,Pothole,32.79153673521502-117.1544678834988,32.7915367352,-117.154467883,Pothole
54,New,New,0,0,2017-05-23T15:31:00,,1,0,Pothole,32.724165-117.05552499999999,32.724165,-117.055525,Pothole
60,Acknowledged,In process,0,0,2017-05-23T15:25:00,,1,0,Pothole,32.79042917715904-117.24192641030152,32.7904291772,-117.24192641,Pothole
78,Acknowledged,In process,0,0,2017-05-23T14:43:00,,1,0,Pothole,32.760451-117.064381,32.760451,-117.06438100000001,Pothole
81,New,New,0,0,2017-05-23T14:40:00,,1,0,Pothole,32.758759-117.063192,32.758759000000005,-117.06319199999999,Pothole
88,Acknowledged,In process,0,0,2017-05-23T14:17:00,,1,0,Pothole,32.748611-117.079278,32.748611,-117.079278,Pothole
116,Acknowledged,In process,0,1,2017-05-23T12:52:00,,1,0,Pothole,32.844727311545895-117.2670286848815,32.8447273115,-117.267028685,Pothole
121,Acknowledged,In process,0,0,2017-05-23T12:45:00,,1,0,Pothole,32.74642288029995-117.1482656743188,32.7464228803,-117.148265674,Pothole
125,Acknowledged,In process,0,1,2017-05-23T12:42:00,,1,0,Pothole,32.74642295486662-117.1493714079478,32.7464229549,-117.149371408,Pothole
127,Acknowledged,In process,0,0,2017-05-23T12:38:00,,1,0,Pothole,32.74513698504784-117.1605940669536,32.745136985,-117.160594067,Pothole
129,Acknowledged,In process,0,1,2017-05-23T12:35:00,,1,0,Pothole,32.74389887231658-117.1675025952208,32.7438988723,-117.167502595,Pothole
132,Acknowledged,In process,0,0,2017-05-23T12:33:00,,1,0,Pothole,32.74431046567182-117.1675273218352,32.7443104657,-117.16752732200001,Pothole
162,Acknowledged,In process,0,0,2017-05-23T11:29:00,,1,0,Pothole,32.69444243838484-117.08357930778253,32.6944424384,-117.083579308,Pothole
171,Acknowledged,In process,0,0,2017-05-23T11:18:00,,1,0,Pothole,32.80686925796851-117.1720126672696,32.806869258,-117.172012667,Pothole
177,Acknowledged,In process,0,1,2017-05-23T11:10:00,,1,0,Pothole,32.934440275431015-117.06675191864286,32.9344402754,-117.066751919,Pothole
184,Acknowledged,In process,0,0,2017-05-23T10:53:00,,1,0,Pothole,32.73337076775489-117.11800270706021,32.733370767800004,-117.118002707,Pothole
189,Acknowledged,In process,0,1,2017-05-23T10:44:00,,1,0,Pothole,32.89418388161146-117.2164741159577,32.8941838816,-117.216474116,Pothole
271,Acknowledged,In process,0,1,2017-05-23T08:24:00,,1,0,Pothole,32.72718925683984-117.16665153122693,32.727189256799996,-117.166651531,Pothole
287,Acknowledged,In process,0,1,2017-05-23T07:58:00,,1,0,Pothole,32.912833-117.14364,32.912833,-117.14363999999999,Pothole
290,Acknowledged,In process,0,1,2017-05-23T07:46:00,,1,0,Pothole,32.755209-117.10081,32.755209,-117.10081000000001,Pothole
365,Acknowledged,In process,0,0,2017-05-23T00:22:00,,1,0,Pothole,33.012889-117.074083,33.012889,-117.074083,Pothole
391,Acknowledged,In process,0,0,2017-05-22T21:13:00,,1,0,Pothole,32.7138935-117.13526690000003,32.7138935,-117.1352669,Pothole
405,Acknowledged,In process,0,0,2017-05-22T20:06:00,,1,0,Pothole,32.84046659999999-117.27073471097572,32.8404666,-117.270734711,Pothole
421,Acknowledged,In process,0,0,2017-05-22T19:20:00,,1,0,Pothole,32.702815-117.114701,32.702815,-117.114701,Pothole
424,Acknowledged,In process,0,0,2017-05-22T19:14:00,,1,0,Pothole,32.84302652816553-117.2703498882402,32.8430265282,-117.270349888,Pothole
433,Acknowledged,In process,0,1,2017-05-22T19:04:00,,1,0,Pothole,33.00544124099706-117.0768245683211,33.005441241,-117.07682456799999,Pothole
436,Acknowledged,In process,0,0,2017-05-22T18:53:00,,1,0,Other,32.74953741232278-117.098696546027,32.7495374123,-117.098696546,Pothole
450,Acknowledged,In process,0,0,2017-05-22T18:27:00,,1,0,Pothole,32.74789-117.237303,32.747890000000005,-117.237303,Pothole
553,Acknowledged,In process,0,0,2017-05-22T15:16:00,,1,0,Pothole,32.81522513835952-117.2415051610369,32.8152251384,-117.241505161,Pothole
578,Acknowledged,In process,0,0,2017-05-22T14:43:00,,1,0,Pothole,32.72557041848898-117.15054092254638,32.7255704185,-117.150540923,Pothole
611,Acknowledged,In process,0,0,2017-05-22T13:50:00,,1,0,Other,32.9477263-117.25001329999998,32.94772630000001,-117.25001329999999,Pothole
629,Acknowledged,In process,0,0,2017-05-22T13:25:00,,1,0,Pothole,32.748239-117.21398340000002,32.748239,-117.2139834,Pothole
654,Acknowledged,In process,0,0,2017-05-22T12:49:00,,1,0,Pothole,32.76853097927413-117.05369259296955,32.768530979299996,-117.053692593,Pothole
669,Acknowledged,In process,0,0,2017-05-22T12:17:00,,1,0,Pothole,32.804298092441236-117.2112143835851,32.804298092399996,-117.211214384,Pothole
671,Acknowledged,In process,0,1,2017-05-22T12:13:00,,1,0,Pothole,32.76111300715734-117.10240192825849,32.761113007199995,-117.10240192799999,Pothole
726,Acknowledged,In process,0,0,2017-05-22T10:38:00,,1,0,Pothole,32.8523162-117.20401579999998,32.852316200000004,-117.20401580000001,Pothole
727,Acknowledged,In process,0,0,2017-05-22T10:34:00,,1,0,Pothole,32.82962783921284-117.21838439247689,32.8296278392,-117.218384392,Pothole
731,Acknowledged,In process,0,0,2017-05-22T10:20:00,,1,0,Pothole,33.004417-117.057945,33.004417,-117.05794499999999,Pothole
792,Acknowledged,In process,0,0,2017-05-22T09:10:00,,1,0,Pothole,32.7488978812776-117.09233008336,32.7488978813,-117.092330083,Pothole
825,Acknowledged,In process,0,1,2017-05-22T08:30:00,,1,0,Pothole,32.930655-117.142316,32.930655,-117.142316,Pothole
886,Acknowledged,In process,0,0,2017-05-22T07:17:00,,1,0,Pothole,32.7427985-117.12260809999998,32.7427985,-117.1226081,Pothole
889,Acknowledged,In process,0,0,2017-05-22T07:14:00,,1,0,Pothole,32.7439303-117.12261410000002,32.7439303,-117.12261409999998,Pothole
893,Acknowledged,In process,0,0,2017-05-22T07:12:00,,1,0,Pothole,32.7338129-117.12335089999999,32.7338129,-117.1233509,Pothole
894,Acknowledged,In process,0,0,2017-05-22T07:10:00,,1,0,Pothole,32.74263680915603-117.0763224085021,32.7426368092,-117.076322409,Pothole
896,Acknowledged,In process,0,0,2017-05-22T07:09:00,,1,0,Pothole,32.7356283-117.1231067,32.7356283,-117.12310670000001,Pothole
901,Acknowledged,In process,0,0,2017-05-22T07:05:00,,1,0,Pothole,32.7419784-117.12393810000003,32.7419784,-117.1239381,Pothole
906,Acknowledged,In process,0,0,2017-05-22T07:03:00,,1,0,Pothole,32.74560019999999-117.12608269999998,32.7456002,-117.1260827,Pothole
911,Acknowledged,In process,0,0,2017-05-22T07:00:00,,1,0,Pothole,32.7489594-117.15346349999998,32.7489594,-117.1534635,Pothole
927,Acknowledged,In process,0,1,2017-05-22T05:55:00,,1,0,Pothole,32.835425-117.18171330000001,32.835425,-117.1817133,Pothole
931,Acknowledged,In process,0,0,2017-05-22T01:46:00,,1,0,Pothole,32.760567334588934-117.12341030555729,32.7605673346,-117.12341030600001,Pothole
938,Acknowledged,In process,0,0,2017-05-21T22:24:00,,1,0,Pothole,32.792038-117.196173,32.792038,-117.196173,Pothole
943,Acknowledged,In process,0,1,2017-05-21T21:58:00,,1,0,Pothole,32.912642-117.148614,32.912642,-117.148614,Pothole
961,Acknowledged,In process,0,0,2017-05-21T20:15:00,,1,0,Pothole,32.75354050020495-117.23885087890625,32.7535405002,-117.238850879,Pothole
964,Acknowledged,In process,0,1,2017-05-21T20:11:00,,1,0,Pothole,32.76111950695145-117.22031145019531,32.761119507,-117.22031145,Pothole
1043,Acknowledged,In process,0,0,2017-05-21T15:31:00,,1,0,Pothole,32.74108787463335-117.24018125457764,32.7410878746,-117.240181255,Pothole
1064,Acknowledged,In process,0,0,2017-05-21T14:13:00,,1,0,Pothole,32.82869322049876-117.1423114314346,32.8286932205,-117.14231143100001,Pothole
1067,Assigned,In process,0,0,2017-05-21T13:34:00,,1,0,Pothole,32.804822586113346-117.1251705162881,32.8048225861,-117.125170516,Pothole
1071,Acknowledged,In process,0,0,2017-05-21T13:10:00,,1,0,Pothole,32.812869-117.226175,32.812869,-117.226175,Pothole
1113,Acknowledged,In process,0,1,2017-05-21T09:34:00,,1,0,Pothole,33.022737-117.074425,33.022737,-117.074425,Pothole
1118,Acknowledged,In process,0,0,2017-05-21T09:15:00,,1,0,Pothole,32.73882645586566-117.0787395080174,32.7388264559,-117.078739508,Pothole
1127,Acknowledged,In process,0,0,2017-05-21T08:48:00,,1,0,Pothole,32.76224800415864-117.0821829791492,32.7622480042,-117.082182979,Pothole
1146,Acknowledged,In process,0,0,2017-05-21T08:00:00,,1,0,Pothole,32.811851-117.226638,32.811851000000004,-117.226638,Pothole
1157,Acknowledged,In process,0,1,2017-05-21T07:47:00,,1,0,Pothole,32.8075976-117.15962960000002,32.8075976,-117.15962959999999,Pothole
1164,Acknowledged,In process,0,0,2017-05-21T07:22:00,,1,0,Pothole,32.848117-117.247433,32.848116999999995,-117.247433,Pothole
1216,Acknowledged,In process,0,0,2017-05-20T21:02:00,,1,0,Pothole,32.763295-117.1218111666667,32.763295,-117.121811167,Pothole
1219,Acknowledged,In process,0,0,2017-05-20T20:41:00,,1,0,Pothole,32.71770324394781-117.09351962698366,32.7177032439,-117.093519627,Pothole
1235,Acknowledged,In process,0,0,2017-05-20T18:58:00,,1,0,Pothole,32.74749045999271-117.1802734613631,32.74749046,-117.180273461,Pothole
1268,Acknowledged,In process,0,0,2017-05-20T15:25:00,,1,0,Pothole,32.74843-117.128958,32.74843,-117.12895800000001,Pothole
1280,Assigned,In process,0,0,2017-05-20T14:19:00,,1,0,Pothole,32.781085-117.102826,32.781085,-117.10282600000001,Pothole
1283,Acknowledged,In process,0,0,2017-05-20T14:15:00,,1,0,Pothole,32.73136080245742-117.1670437698412,32.7313608025,-117.16704377,Pothole
1285,Assigned,In process,0,1,2017-05-20T14:06:00,,1,0,Pothole,32.76693021339023-117.15299893386839,32.7669302134,-117.152998934,Pothole
1292,Acknowledged,In process,0,0,2017-05-20T13:34:00,,1,0,Pothole,32.688928-117.096668,32.688928000000004,-117.096668,Pothole
1296,Assigned,In process,0,0,2017-05-20T13:11:00,,1,0,Pothole,32.7873961-117.09811360000003,32.7873961,-117.09811359999999,Pothole
1309,Acknowledged,In process,0,1,2017-05-20T12:39:00,,1,0,Pothole,32.762878083404-117.0821969907826,32.762878083400004,-117.082196991,Pothole
1325,Assigned,In process,0,0,2017-05-20T11:35:00,,1,0,Pothole,32.6927702293391-117.07346949370275,32.692770229299995,-117.073469494,Pothole
1344,Acknowledged,In process,0,0,2017-05-20T10:22:00,,1,0,Pothole,33.008846-117.059486,33.008846000000005,-117.059486,Pothole
1371,Acknowledged,In process,0,1,2017-05-20T09:52:00,,1,0,Pothole,32.86800103522286-117.2313230859556,32.8680010352,-117.231323086,Pothole
1453,Acknowledged,In process,0,1,2017-05-20T08:50:00,,1,0,Pothole,32.56748690000001-116.9363467,32.5674869,-116.9363467,Pothole
1470,Assigned,In process,0,1,2017-05-20T07:33:00,,1,0,Pothole,32.78749942584795-117.0977614812916,32.7874994258,-117.097761481,Pothole
1480,Acknowledged,In process,0,0,2017-05-20T06:24:00,,1,0,Pothole,32.835699-117.173983,32.835699,-117.173983,Pothole
1492,Acknowledged,In process,0,0,2017-05-20T00:43:00,,1,0,Pothole,32.70533842969007-117.141951955964,32.7053384297,-117.141951956,Pothole
1498,Acknowledged,In process,0,1,2017-05-19T22:44:00,,1,0,Pothole,32.71688460000001-117.1627688,32.7168846,-117.16276880000001,Pothole
1534,Acknowledged,In process,0,1,2017-05-19T19:43:00,,1,0,Pothole,32.807792-117.157709,32.807792,-117.15770900000001,Pothole
1560,Acknowledged,In process,0,0,2017-05-19T18:44:00,,1,0,Pothole,32.814176156626274-117.17928122404071,32.8141761566,-117.179281224,Pothole
1576,Acknowledged,In process,0,1,2017-05-19T18:00:00,,1,0,Pothole,32.751395-117.096613,32.751395,-117.09661299999999,Pothole
1606,Acknowledged,In process,0,1,2017-05-19T16:10:00,,1,0,Pothole,33.040115793914566-117.06569035215674,33.0401157939,-117.065690352,Pothole
1619,Acknowledged,In process,0,0,2017-05-19T15:54:00,,1,0,Pothole,32.69401166666667-117.1338361666667,32.6940116667,-117.13383616700001,Pothole
1670,Acknowledged,In process,0,0,2017-05-19T15:21:00,,1,0,Pothole,33.004207-117.091685,33.004207,-117.09168500000001,Pothole
1711,Acknowledged,In process,0,0,2017-05-19T13:58:00,,1,0,Pothole,32.72639339956895-117.16944290400524,32.7263933996,-117.169442904,Pothole
1751,Acknowledged,In process,0,1,2017-05-19T12:45:00,,1,0,Pothole,32.73163726965207-117.1640254806974,32.731637269699995,-117.16402548100001,Pothole
1758,Acknowledged,In process,0,1,2017-05-19T12:19:00,,1,0,Pothole,32.85394668998864-117.2043258477861,32.85394669,-117.204325848,Pothole
1787,Acknowledged,In process,0,1,2017-05-19T11:08:00,,1,0,Pothole,32.76101216275184-117.13392472199058,32.7610121628,-117.133924722,Pothole
1824,Acknowledged,In process,0,0,2017-05-19T09:46:00,,1,0,Pothole,32.757859-117.095771,32.757859,-117.095771,Pothole
1827,Acknowledged,In process,0,0,2017-05-19T09:41:00,,1,0,Pothole,32.67580906300952-117.05524745488665,32.675809063,-117.055247455,Pothole
1831,Acknowledged,In process,0,1,2017-05-19T09:27:00,,1,0,Pothole,32.807698177673345-117.15765504760742,32.8076981777,-117.157655048,Pothole
1839,Acknowledged,In process,0,1,2017-05-19T09:16:00,,1,0,Pothole,32.7268346-117.16802999999999,32.726834600000004,-117.16803,Pothole
1840,Acknowledged,In process,0,0,2017-05-19T09:09:00,,1,0,Pothole,32.72683536936536-117.16803955404804,32.7268353694,-117.16803955399999,Pothole
1859,Acknowledged,In process,0,0,2017-05-19T08:17:00,,1,0,Pothole,32.9664169-117.08975989999999,32.9664169,-117.08975990000002,Pothole
1875,Acknowledged,In process,0,0,2017-05-19T07:38:00,,1,0,Pothole,32.75417936037548-117.2185829189766,32.7541793604,-117.218582919,Pothole
1878,Acknowledged,In process,0,0,2017-05-19T07:34:00,,1,0,Pothole,32.74547479999999-117.12209989999997,32.745474800000004,-117.12209990000001,Pothole
1879,Acknowledged,In process,0,0,2017-05-19T07:33:00,,1,0,Pothole,32.75324243123899-117.2232586798418,32.7532424312,-117.22325868,Pothole
1882,Acknowledged,In process,0,0,2017-05-19T07:28:00,,1,0,Pothole,32.80774308243683-117.15992963819058,32.807743082399995,-117.159929638,Pothole
1883,Acknowledged,In process,0,0,2017-05-19T07:26:00,,1,0,Pothole,32.7234255-117.13291579999998,32.7234255,-117.1329158,Pothole
1887,Acknowledged,In process,0,0,2017-05-19T07:23:00,,1,0,Pothole,32.7235849-117.1318602,32.7235849,-117.13186019999999,Pothole
1888,Acknowledged,In process,0,0,2017-05-19T07:22:00,,1,0,Pothole,32.79236641473979-117.24251205067834,32.7923664147,-117.242512051,Pothole
1899,Acknowledged,In process,0,0,2017-05-19T06:50:00,,1,0,Pothole,32.7473714-117.23543480000001,32.7473714,-117.2354348,Pothole
1904,Acknowledged,In process,0,1,2017-05-19T06:37:00,,1,0,Pothole,32.7127273400648-117.1337655988085,32.7127273401,-117.133765599,Pothole
1911,Acknowledged,In process,0,1,2017-05-19T05:24:00,,1,0,Pothole,32.74838890989261-117.1584404136017,32.7483889099,-117.158440414,Pothole
1936,Acknowledged,In process,0,0,2017-05-18T22:12:00,,1,0,Pothole,32.7571740451191-117.1001867297179,32.7571740451,-117.10018673,Pothole
1961,Acknowledged,In process,0,0,2017-05-18T19:25:00,,1,0,Pothole,33.01322916060035-117.0692385268557,33.0132291606,-117.06923852700001,Pothole
1988,Acknowledged,In process,0,0,2017-05-18T17:50:00,,1,0,Pothole,32.746749-117.06643,32.746749,-117.06643000000001,Pothole
1990,Acknowledged,In process,0,0,2017-05-18T17:45:00,,1,0,Pothole,32.707091-117.022971,32.707091,-117.022971,Pothole
2000,Acknowledged,In process,0,0,2017-05-18T17:13:00,,1,0,Pothole,32.683121-117.109242,32.683121,-117.109242,Pothole
2004,Acknowledged,In process,0,0,2017-05-18T17:11:00,,1,0,Pothole,32.738424-117.180381,32.738424,-117.18038100000001,Pothole
2005,Acknowledged,In process,0,0,2017-05-18T17:10:00,,1,0,Pothole,32.807747-117.15993889999998,32.807747,-117.1599389,Pothole
2014,Acknowledged,In process,0,0,2017-05-18T16:34:00,,1,0,Pothole,32.731373301032555-117.16395052444788,32.731373301,-117.163950524,Pothole
2080,Acknowledged,In process,0,0,2017-05-18T13:53:00,,1,0,Pothole,32.796658031752166-117.24578212115101,32.7966580318,-117.245782121,Pothole
2082,Acknowledged,In process,0,1,2017-05-18T13:49:00,,1,0,Pothole,32.7269522807722-117.1676126832422,32.7269522808,-117.16761268299999,Pothole
2086,Acknowledged,In process,0,0,2017-05-18T13:44:00,,1,0,Pothole,32.6716541-117.048427,32.671654100000005,-117.048427,Pothole
2103,Acknowledged,In process,0,1,2017-05-18T13:20:00,,1,0,Pothole,32.748569-117.158402,32.748569,-117.158402,Pothole
2112,Acknowledged,In process,0,0,2017-05-18T13:08:00,,1,0,Pothole,32.77071936161888-117.0720186238959,32.7707193616,-117.072018624,Pothole
2116,Assigned,In process,0,1,2017-05-18T13:03:00,,1,0,Pothole,32.77263837679257-117.15740353743749,32.772638376799996,-117.15740353700001,Pothole
2136,Acknowledged,In process,0,0,2017-05-18T12:23:00,,1,0,Pothole,32.71812716862128-117.15671091003418,32.7181271686,-117.15671091,Pothole
2175,Assigned,In process,0,0,2017-05-18T10:57:00,,1,0,Pothole,32.55338580105778-116.9798918406405,32.5533858011,-116.979891841,Pothole
2187,Acknowledged,In process,0,0,2017-05-18T10:30:00,,1,0,Pothole,32.81439403075056-117.2165942286302,32.8143940308,-117.216594229,Pothole
2206,Acknowledged,In process,0,1,2017-05-18T10:06:00,,1,0,Pothole,32.81494107566105-117.216281918918,32.8149410757,-117.216281919,Pothole
2207,Acknowledged,In process,0,1,2017-05-18T10:05:00,,1,0,Pothole,32.8148555802487-117.2163229064245,32.8148555802,-117.216322906,Pothole
2235,Assigned,In process,0,0,2017-05-18T09:09:00,,1,0,Pothole,32.715738-117.16108380000003,32.715738,-117.1610838,Pothole
2243,Acknowledged,In process,0,1,2017-05-18T08:59:00,,1,0,Pothole,32.821681528003026-117.17573421231982,32.821681528,-117.17573421200001,Pothole
2253,Acknowledged,In process,0,1,2017-05-18T08:45:00,,1,0,Pothole,32.823028498515214-117.17895637473845,32.8230284985,-117.178956375,Pothole
2254,Acknowledged,In process,0,0,2017-05-18T08:44:00,,1,0,Pothole,32.80061340108591-117.23133831658198,32.8006134011,-117.23133831700001,Pothole
2256,Acknowledged,In process,0,0,2017-05-18T08:41:00,,1,0,Pothole,32.837714147030894-117.19598100709455,32.837714147,-117.19598100700001,Pothole
2276,Assigned,In process,0,0,2017-05-18T07:52:00,,1,0,Pothole,32.79551467282893-117.00748352928161,32.7955146728,-117.007483529,Pothole
2284,Acknowledged,In process,0,0,2017-05-18T07:34:00,,1,0,Pothole,32.85735953061132-117.2535890849944,32.8573595306,-117.253589085,Pothole
2288,Assigned,In process,0,0,2017-05-18T07:25:00,,1,0,Traffic Sign,32.7384094-117.09657349999998,32.738409399999995,-117.0965735,Pothole
2289,Acknowledged,In process,0,0,2017-05-18T07:24:00,,1,0,Pothole,32.759098-117.145404,32.759098,-117.145404,Pothole
2303,Assigned,In process,0,1,2017-05-18T07:16:00,,1,0,Pothole,32.7384187-117.09766660000003,32.7384187,-117.0976666,Pothole
2306,Assigned,In process,0,0,2017-05-18T07:13:00,,1,0,Pothole,32.7384187-117.09766660000003,32.7384187,-117.0976666,Pothole
2393,Acknowledged,In process,0,0,2017-05-17T21:42:00,,1,0,Pothole,32.8282836-117.1583076,32.8282836,-117.15830759999999,Pothole
2411,Acknowledged,In process,0,0,2017-05-17T20:39:00,,1,0,Pothole,32.71152251901891-117.166741904853,32.711522519,-117.166741905,Pothole
2429,Assigned,In process,0,0,2017-05-17T19:54:00,,1,0,Pothole,32.8034183645875-117.01773054720464,32.8034183646,-117.01773054700001,Pothole
2447,Acknowledged,In process,0,0,2017-05-17T19:25:00,,1,0,Pothole,32.7160188-117.15954679999999,32.7160188,-117.15954679999999,Pothole
2448,Acknowledged,In process,0,0,2017-05-17T19:24:00,,1,0,Pothole,32.9273628-117.14086910000003,32.927362800000004,-117.14086909999999,Pothole
2460,Acknowledged,In process,0,0,2017-05-17T18:43:00,,1,0,Pothole,32.919352-117.142773,32.919352,-117.14277299999999,Pothole
2461,Acknowledged,In process,0,0,2017-05-17T18:42:00,,1,0,Pothole,32.917877-117.142189,32.917877000000004,-117.14218899999999,Pothole
2494,Assigned,In process,0,0,2017-05-17T17:32:00,,1,0,Pothole,32.700754-117.022166,32.700753999999996,-117.022166,Pothole
2594,Acknowledged,In process,0,0,2017-05-17T14:36:00,,1,0,Pothole,32.9506056-117.23218839999998,32.9506056,-117.23218840000001,Pothole
2616,Acknowledged,In process,0,0,2017-05-17T14:09:00,,1,0,Pothole,32.79540427631495-117.20264991412266,32.795404276300005,-117.20264991399999,Pothole
2617,Acknowledged,In process,0,0,2017-05-17T14:09:00,,1,0,Pothole,32.992231-117.07635700000003,32.992231,-117.076357,Pothole
2623,Acknowledged,In process,0,0,2017-05-17T14:06:00,,1,0,Pothole,32.7939582949917-117.20268308373566,32.793958295,-117.202683084,Pothole
2635,Assigned,In process,0,0,2017-05-17T13:56:00,,1,0,Pothole,32.720815-117.04994,32.720815,-117.04993999999999,Pothole
2638,Acknowledged,In process,0,0,2017-05-17T13:55:00,,1,0,Pothole,33.022820383830854-117.07728533668518,33.0228203838,-117.077285337,Pothole
2644,Assigned,In process,0,0,2017-05-17T13:49:00,,1,0,Pothole,32.79580334925866-117.01888772037138,32.7958033493,-117.01888772,Pothole
2649,Assigned,In process,0,0,2017-05-17T13:45:00,,1,0,Pothole,32.799723286368696-117.01602887815332,32.799723286399995,-117.01602887799999,Pothole
2683,Assigned,In process,0,1,2017-05-17T13:28:00,,1,0,Pothole,32.77581919721208-117.14071398741913,32.7758191972,-117.14071398700001,Pothole
2689,Assigned,In process,0,1,2017-05-17T13:25:00,,1,0,Pothole,32.76668322882202-117.1151842181179,32.7666832288,-117.115184218,Pothole
2692,Assigned,In process,0,1,2017-05-17T13:23:00,,1,0,Pothole,32.76678714384851-117.11580378129,32.7667871438,-117.115803781,Pothole
2693,Acknowledged,In process,0,0,2017-05-17T13:22:00,,1,0,Pothole,32.76748803081691-117.1160133825453,32.7674880308,-117.116013383,Pothole
2696,Assigned,In process,0,1,2017-05-17T13:21:00,,1,0,Pothole,32.76801352756355-117.1164234742232,32.768013527600004,-117.116423474,Pothole
2702,Assigned,In process,0,1,2017-05-17T13:17:00,,1,0,Pothole,32.731373301032555-117.16395052444788,32.731373301,-117.163950524,Pothole
2709,Assigned,In process,0,1,2017-05-17T13:09:00,,1,0,Pothole,32.779126082906885-117.1011784545899,32.7791260829,-117.101178455,Pothole
2736,Assigned,In process,0,1,2017-05-17T12:42:00,,1,0,Pothole,32.772825097802716-117.15740291996002,32.7728250978,-117.15740292,Pothole
2743,Acknowledged,In process,0,0,2017-05-17T12:33:00,,1,0,Pothole,32.75978871614623-117.2491076461792,32.759788716100005,-117.249107646,Pothole
2764,Acknowledged,In process,0,0,2017-05-17T11:55:00,,1,0,Pothole,32.83391442714525-117.2033702946395,32.8339144271,-117.203370295,Pothole
2770,Acknowledged,In process,0,1,2017-05-17T11:50:00,,1,0,Pothole,32.83142912183005-117.12782888336181,32.8314291218,-117.12782888299999,Pothole
2771,Acknowledged,In process,0,1,2017-05-17T11:49:00,,1,0,Pothole,32.83254698866436-117.1612170211792,32.832546988699995,-117.161217021,Pothole
2777,Acknowledged,In process,0,1,2017-05-17T11:37:00,,1,0,Pothole,32.8078732-117.15595610000002,32.8078732,-117.1559561,Pothole
2779,Assigned,In process,0,0,2017-05-17T11:35:00,,1,0,Pothole,32.69967510899111-117.13770565781095,32.699675109,-117.13770565799999,Pothole
2780,Acknowledged,In process,0,1,2017-05-17T11:35:00,,1,0,Pothole,32.81167247225957-117.2011106244689,32.8116724723,-117.201110624,Pothole
2789,Assigned,In process,0,0,2017-05-17T11:14:00,,1,0,Pothole,32.82928824000668-117.10340390198141,32.82928824,-117.10340390200001,Pothole
2792,Acknowledged,In process,0,1,2017-05-17T11:00:00,,1,0,Pothole,32.8408256-117.19700030000001,32.8408256,-117.1970003,Pothole
2794,Assigned,In process,0,0,2017-05-17T10:59:00,,1,0,Pothole,32.7690490242399-117.1214657464224,32.7690490242,-117.121465746,Pothole
2799,Assigned,In process,0,0,2017-05-17T10:54:00,,1,0,Pothole,32.754073041533466-117.13265162729667,32.7540730415,-117.132651627,Pothole
2818,Acknowledged,In process,0,0,2017-05-17T09:55:00,,1,0,Pothole,32.79923548459336-117.1954868362445,32.7992354846,-117.195486836,Pothole
2834,Acknowledged,In process,0,0,2017-05-17T09:42:00,,1,0,Pothole,32.736827602015744-117.2309562783264,32.736827602,-117.230956278,Pothole
2839,Assigned,In process,0,1,2017-05-17T09:32:00,,1,0,Pothole,32.72683536936536-117.16803955404804,32.7268353694,-117.16803955399999,Pothole
2872,Acknowledged,In process,0,1,2017-05-17T08:38:00,,1,0,Pothole,32.729757-117.234926,32.729757,-117.234926,Pothole
2905,Assigned,In process,0,0,2017-05-17T08:07:00,,1,0,Pothole,32.697869184993905-117.14780597610473,32.697869185,-117.147805976,Pothole
2926,Acknowledged,In process,0,1,2017-05-17T07:55:00,,1,0,Pothole,33.00227124801409-117.0893745126789,33.002271248,-117.089374513,Pothole
2942,Assigned,In process,0,0,2017-05-17T07:47:00,,1,0,Pothole,32.76263720358979-117.1234233399081,32.7626372036,-117.12342334,Pothole
2974,Assigned,In process,0,0,2017-05-17T06:25:00,,1,0,Pothole,32.72045094388115-117.0518971552579,32.7204509439,-117.051897155,Pothole
3013,Assigned,In process,0,0,2017-05-16T22:59:00,,1,0,Pothole,32.73206789734242-117.15764390008621,32.7320678973,-117.1576439,Pothole
3058,Assigned,In process,0,0,2017-05-16T20:12:00,,1,0,Pothole,32.74702929833718-117.0924116716673,32.7470292983,-117.09241167200001,Pothole
3064,Acknowledged,In process,0,0,2017-05-16T19:44:00,,1,0,Pothole,32.8273454-117.25924629999997,32.8273454,-117.2592463,Pothole
3071,Acknowledged,In process,0,0,2017-05-16T19:25:00,,1,0,Pothole,32.82888-117.2116083333333,32.82888,-117.21160833299999,Pothole
3075,Acknowledged,In process,0,0,2017-05-16T19:21:00,,1,0,Pothole,32.73966417274197-117.1823442774983,32.7396641727,-117.18234427700001,Pothole
3079,Assigned,In process,0,0,2017-05-16T19:19:00,,1,0,Pothole,32.72040015320732-117.1451935869646,32.7204001532,-117.14519358700001,Pothole
3081,Assigned,In process,0,0,2017-05-16T19:15:00,,1,0,Pothole,32.7188358083672-117.1274806001383,32.7188358084,-117.12748059999998,Pothole
3104,Assigned,In process,0,0,2017-05-16T18:16:00,,1,0,Pothole,32.80306094329134-117.0099855122315,32.8030609433,-117.00998551200001,Pothole
3108,Acknowledged,In process,0,0,2017-05-16T18:08:00,,1,0,Pothole,32.912383935449526-117.15289144439697,32.9123839354,-117.15289144399999,Pothole
3130,Acknowledged,In process,0,0,2017-05-16T17:16:00,,1,0,Pothole,32.82994166666667-117.2123333333333,32.8299416667,-117.21233333299999,Pothole
