,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
47971,Assigned,In process,0,1,2017-01-24T09:55:00,,1,0,Pothole,32.91706739127079-117.12014703674316,32.9170673913,-117.12014703700001,Pothole
48012,Assigned,In process,0,0,2017-01-24T09:06:00,,1,0,Pothole,32.89096761963599-117.1504795366127,32.8909676196,-117.15047953700001,Pothole
48026,Assigned,In process,0,0,2017-01-24T08:49:00,,1,0,Pothole,32.82240273961509-117.1275860333207,32.8224027396,-117.12758603299999,Pothole
48038,Assigned,In process,0,0,2017-01-24T08:39:00,,1,0,Pothole,32.880517-117.205106,32.880517,-117.205106,Pothole
48044,Assigned,In process,0,1,2017-01-24T08:24:00,,1,0,Pothole,32.8078553-117.1576536,32.8078553,-117.15765359999999,Pothole
48065,Assigned,In process,0,0,2017-01-24T07:48:00,,1,0,Pothole,32.930454-117.14241,32.930454,-117.14241000000001,Pothole
48073,Assigned,In process,0,1,2017-01-24T07:39:00,,1,0,Pothole,32.84359884420944-117.24685995502466,32.8435988442,-117.246859955,Pothole
48097,Assigned,In process,0,1,2017-01-24T07:15:00,,1,0,Pothole,33.08363202116146-117.03155435316467,33.083632021199996,-117.03155435299999,Pothole
48112,Assigned,In process,0,0,2017-01-24T06:43:00,,1,0,Pothole,32.807811-117.15442,32.807811,-117.15442,Pothole
48121,Assigned,In process,0,0,2017-01-24T06:37:00,,1,0,Pothole,32.828854-117.161539,32.828854,-117.16153899999999,Pothole
48128,Assigned,In process,0,1,2017-01-24T06:22:00,,1,0,Pothole,32.822361-117.148835,32.822361,-117.148835,Pothole
48169,Acknowledged,In process,0,0,2017-01-24T01:31:00,,1,0,Pothole,32.78283574093188-117.16976348675541,32.782835740900005,-117.16976348700001,Pothole
48172,Assigned,In process,0,0,2017-01-24T01:02:00,,1,0,Pothole,32.74125933564347-117.21509723587025,32.7412593356,-117.215097236,Pothole
48182,Assigned,In process,0,0,2017-01-23T23:25:00,,1,0,Pothole,32.9233785-117.1405321,32.9233785,-117.1405321,Pothole
48206,Assigned,In process,0,1,2017-01-23T22:16:00,,1,0,Pothole,32.92080264086617-117.1439586402804,32.9208026409,-117.14395864,Pothole
48219,Assigned,In process,0,1,2017-01-23T21:56:00,,1,0,Pothole,32.92230634556576-117.1438965936829,32.9223063456,-117.143896594,Pothole
48223,Assigned,In process,0,1,2017-01-23T21:42:00,,1,0,Pothole,32.843973-117.246739,32.843973,-117.24673899999999,Pothole
48224,Assigned,In process,0,1,2017-01-23T21:37:00,,1,0,Pothole,32.91712535094855-117.1203429654195,32.9171253509,-117.120342965,Pothole
48235,Assigned,In process,0,0,2017-01-23T20:58:00,,1,0,Pothole,32.82943925879399-117.2182420768341,32.8294392588,-117.21824207700001,Pothole
48242,Acknowledged,In process,0,1,2017-01-23T20:49:00,,1,0,Pothole,32.8016653-117.1570855,32.801665299999996,-117.1570855,Pothole
48254,Assigned,In process,0,0,2017-01-23T20:07:00,,1,0,Pothole,32.915544-117.150657,32.915544,-117.15065700000001,Pothole
48291,Assigned,In process,0,0,2017-01-23T19:00:00,,1,0,Pothole,32.83213333333333-117.2015833333333,32.8321333333,-117.20158333299999,Pothole
48296,Assigned,In process,0,0,2017-01-23T18:56:00,,1,0,Pothole,33.023904-117.114024,33.023903999999995,-117.114024,Pothole
48345,Assigned,In process,0,0,2017-01-23T18:28:00,,1,0,Pothole,33.038063-117.083878,33.038063,-117.083878,Pothole
48354,Assigned,In process,0,0,2017-01-23T18:14:00,,1,0,Pothole,32.956519-117.127518,32.956519,-117.127518,Pothole
48418,Assigned,In process,0,0,2017-01-23T17:04:00,,1,0,Pothole,32.736333-117.177709,32.736333,-117.17770900000001,Pothole
48438,Assigned,In process,0,0,2017-01-23T16:51:00,,1,0,Pothole,32.71984994148074-117.1611823463104,32.7198499415,-117.161182346,Pothole
48459,Assigned,In process,0,1,2017-01-23T16:31:00,,1,0,Pothole,32.917335-117.12097,32.917334999999994,-117.12097,Pothole
48469,Assigned,In process,0,0,2017-01-23T16:20:00,,1,0,Pothole,32.75313778507364-117.09547480268283,32.7531377851,-117.09547480299999,Pothole
48478,Assigned,In process,0,1,2017-01-23T16:09:00,,1,0,Pothole,32.7528084-117.2265427,32.7528084,-117.22654270000001,Pothole
48529,Assigned,In process,0,1,2017-01-23T14:53:00,,1,0,Pothole,32.779877307113196-117.23630981879808,32.7798773071,-117.236309819,Pothole
48542,Assigned,In process,0,0,2017-01-23T14:39:00,,1,0,Pothole,32.919518-117.149529,32.919518,-117.149529,Pothole
48567,Assigned,In process,0,0,2017-01-23T14:10:00,,1,0,Pothole,32.81811389700821-117.1850889805786,32.818113896999996,-117.185088981,Pothole
48582,Assigned,In process,0,0,2017-01-23T13:37:00,,1,0,Pothole,32.716864907806226-117.1638127539673,32.7168649078,-117.16381275399999,Pothole
48611,Assigned,In process,0,1,2017-01-23T12:46:00,,1,0,Pothole,32.75152856918589-117.2049515941315,32.7515285692,-117.204951594,Pothole
