,index,Unnamed: 0,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),closed_changed_date,Neighborhood_Val,Median_Time_Closed,City Pothole Count,Population
0,16526,16526,Sabre Springs,16634.0,1.0,2016-06-04 00:02:00,32.946082429590234-117.08790486016846,0.0,32.9460824296,-117.08790486,Closed,0.0,0.0,2016-05-22 10:20:00,Pothole,Pothole,Closed,301.7,736119.0013888889,1,484.6833333333333,13,14605
1,16524,16524,Sabre Springs,16615.0,1.0,2016-06-04 00:02:00,32.94536215034731-117.08236878076173,0.0,32.9453621503,-117.082368781,Closed,0.0,0.0,2016-05-22 18:27:00,Pothole,Pothole,Closed,293.5833333333333,736119.0013888889,1,484.6833333333333,13,14605
2,16513,16513,Mission Valley East,16394.0,1.0,2016-06-14 00:04:00,32.76462020853904-117.1584924575681,0.0,32.7646202085,-117.158492458,Closed,0.0,0.0,2016-06-01 23:17:00,Pothole,Pothole,Closed,288.78333333333336,736129.0027777777,2,364.0,11,6793
3,16521,16521,Allied Gardens,16506.0,1.0,2016-06-15 00:04:00,32.797363-117.073784,0.0,32.797363,-117.073784,Closed,0.0,0.0,2016-05-26 14:33:00,Pothole,Pothole,Closed,465.51666666666665,736130.0027777777,3,447.05,13,8839
4,16522,16522,Clairemont Mesa East,16508.0,1.0,2016-06-16 00:03:00,32.83436690464365-117.17560717446685,0.0,32.8343669046,-117.17560717399999,Closed,0.0,0.0,2016-05-26 13:33:00,Pothole,Pothole,Closed,490.5,736131.0020833333,4,500.975,32,26878
5,16516,16516,Kearny Mesa,16447.0,1.0,2016-06-16 00:03:00,32.82320383007901-117.1487736516792,0.0,32.8232038301,-117.148773652,Closed,0.0,0.0,2016-05-31 14:09:00,Pothole,Pothole,Closed,369.9,736131.0020833333,5,393.05,46,3029
6,16518,16518,Kearny Mesa,16475.0,1.0,2016-06-16 00:03:00,32.8327973-117.1423395,1.0,32.8327973,-117.1423395,Closed,0.0,0.0,2016-05-28 14:18:00,Pothole,Pothole,Closed,441.75,736131.0020833333,5,393.05,46,3029
7,16504,16504,Carmel Valley,16275.0,1.0,2016-06-17 00:04:00,32.95299087320376-117.22901705767214,0.0,32.9529908732,-117.229017058,Closed,0.0,0.0,2016-06-03 17:13:00,Pothole,Pothole,Closed,318.85,736132.0027777777,6,318.85,15,38768
8,16473,16473,Clairemont Mesa East,15949.0,1.0,2016-06-17 00:04:00,32.8078073-117.1572458,0.0,32.8078073,-117.15724579999998,Closed,0.0,0.0,2016-06-16 23:44:00,Pothole,Pothole,Closed,0.3333333333333333,736132.0027777777,4,500.975,32,26878
9,16502,16502,Rancho Bernardo,16243.0,1.0,2016-06-18 00:03:00,33.01384393128847-117.0648904984045,0.0,33.0138439313,-117.064890498,Closed,0.0,0.0,2016-06-04 19:29:00,Pothole,Pothole,Closed,316.56666666666666,736133.0020833333,7,439.4333333333333,53,44745
10,16519,16519,Rancho Bernardo,16490.0,1.0,2016-06-18 00:03:00,33.0084154-117.0618332,0.0,33.0084154,-117.0618332,Closed,0.0,0.0,2016-05-27 13:02:00,Pothole,Pothole,Closed,515.0166666666668,736133.0020833333,7,439.4333333333333,53,44745
11,16479,16479,Bay Terraces,16007.0,1.0,2016-06-18 00:03:00,32.6806770542901-117.04325911666827,0.0,32.6806770543,-117.043259117,Closed,0.0,0.0,2016-06-14 12:04:00,Pothole,Pothole,Closed,83.98333333333333,736133.0020833333,8,267.4083333333333,10,22415
12,16503,16503,Bay Park,16274.0,1.0,2016-06-18 00:03:00,32.807237-117.20093,1.0,32.807237,-117.20093,Closed,0.0,0.0,2016-06-03 17:18:00,Pothole,Pothole,Closed,342.75,736133.0020833333,9,463.8083333333334,34,15818
13,16483,16483,Pacific Beach,16081.0,1.0,2016-06-21 00:03:00,32.799316-117.228968,1.0,32.799316,-117.228968,Closed,0.0,0.0,2016-06-10 07:44:00,Pothole,Pothole,Closed,256.31666666666666,736136.0020833333,10,409.75833333333327,44,30308
14,16499,16499,Golden Hill,16190.0,1.0,2016-06-21 00:03:00,32.71683688452244-117.1467867589248,0.0,32.7168368845,-117.146786759,Closed,0.0,0.0,2016-06-06 17:38:00,Pothole,Pothole,Closed,342.4166666666667,736136.0020833333,11,334.9083333333333,10,10325
15,16511,16511,Core-Columbia,16377.0,1.0,2016-06-21 00:03:00,32.71688234570522-117.1627688,0.0,32.7168823457,-117.1627688,Closed,0.0,0.0,2016-06-02 08:02:00,Pothole,Pothole,Closed,448.01666666666665,736136.0020833333,12,335.1666666666667,14,37832
