GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",980,127,33,26,121,53,228,71,127,55,203,66,53,33,63,37,18,20,33,25,30,28,31,28,40,28
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1092,230,27,30,175,74,113,86,95,55,264,100,91,62,84,52,97,124,37,40,13,15,37,44,59,37
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",2686,384,13,20,116,74,578,259,901,303,270,139,238,137,266,131,120,123,15,24,137,113,10,18,22,31
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",2921,374,44,49,232,119,544,190,731,223,413,166,214,112,287,145,43,43,81,62,118,73,129,92,85,77
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",2267,321,51,49,106,68,334,138,565,192,379,143,210,109,328,145,92,100,79,78,80,69,43,51,0,12
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",1728,175,2,4,128,71,254,119,438,118,331,101,128,70,201,105,25,31,68,55,57,43,64,47,32,30
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",1917,255,66,82,100,56,365,123,342,140,326,106,90,47,282,103,40,52,110,57,155,60,24,24,17,19
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",2993,329,62,91,403,156,387,142,678,211,517,195,139,101,317,169,64,67,24,35,183,129,138,117,81,83
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",2121,346,11,18,112,79,506,169,383,165,378,173,125,78,345,150,28,33,16,26,129,87,28,34,60,63
